y_cell,y_sin,L,y_dis,flow_sin,sim
5.0649895041813e-06,4.1899466204379e-06,0.000471317127068692,6.41007751988479e-07,5.30702643755666e-05,35
3.61356837439804e-06,4.26056810802282e-06,0.000577532388348118,5.93880557492574e-07,2.10842072911439e-05,37
1.45558757719242e-05,4.44562166693552e-06,0.000485615466069281,1.17755649971335e-06,1.35708626323872e-05,38
9.68382632524887e-06,4.10455129117596e-06,0.000521726996507581,5.53437890408232e-07,8.92141856462722e-05,39
4.96516902619164e-06,3.93489723442648e-06,0.000471111814224888,8.19856348943958e-07,0.000202365980365439,4
4.02647985315964e-06,4.55397229532204e-06,0.000555419653652081,1.1178055595261e-06,3.42537433852628e-05,40
5.40290154097454e-06,4.91894949243935e-06,0.000535365013454648,9.39104442516952e-07,1.70501449056621e-05,45
7.87606849215489e-06,3.91875592481186e-06,0.000471890006838663,6.04663252390763e-07,4.67554591890204e-05,80
1.30886540919413e-05,4.73053551159717e-06,0.000490497037455872,6.28145798370161e-07,3.62031623722929e-05,46
9.99856013291039e-06,4.98744997536583e-06,0.000448786902302341,8.39970052590045e-07,4.50006322951058e-05,47
9.98465111154945e-06,5.27143699056068e-06,0.000575611164687061,5.96570453051984e-07,6.57295340500861e-05,48
1.44626884516569e-06,4.19244656323114e-06,0.00047933840895975,5.36014181708653e-07,1.86023823335831e-05,49
4.36893708525799e-06,4.74613229982243e-06,0.00043353545617914,5.38979154118009e-07,8.86163394913412e-05,15
1.7349027769401e-06,4.80293419181381e-06,0.000473149951145371,5.47066060230765e-07,2.38008903426063e-05,53
1.47300192518676e-06,4.85694696427148e-06,0.000568708482858876,6.87536632477429e-07,5.37574725146783e-05,22
2.33835809756865e-06,4.00825726603057e-06,0.000542414731097173,1.11782900631084e-06,3.35944512252227e-05,56
7.02063743819907e-06,4.73343045649161e-06,0.000445640061541983,7.86788298141225e-07,0.000106480743269801,55
2.7418687067354e-06,4.63513976960823e-06,0.000541968505570626,7.48755256513047e-07,4.09260111723384e-05,57
6.36763375841284e-06,3.60622513883492e-06,0.000448855612266127,5.96980643502846e-07,3.74077491134153e-05,26
5.62591690502251e-06,4.00692904638188e-06,0.000531531688268962,6.53208073378055e-07,3.13906152055491e-05,58
9.24284542667279e-06,3.89935630140764e-06,0.000432815127305333,9.68748879926593e-07,6.82178237965313e-05,82
3.54927558272234e-06,5.36568507156251e-06,0.000492287684872833,6.50994152727156e-07,6.42816300454855e-05,28
8.5480311198267e-06,3.83017182480167e-06,0.000481980690000539,6.92406877493039e-07,1.31559489129163e-05,83
3.28881664485189e-06,4.36760825521298e-06,0.000467619177950482,3.90105134617009e-07,4.0615636050487e-05,59
5.2894064966457e-06,4.73292055133427e-06,0.000409374919043824,8.6642532395917e-07,7.31812099824209e-05,84
3.844988903398e-06,4.47272891589008e-06,0.000467342345551827,1.01641665310031e-06,3.33477428440274e-05,89
2.29879043598878e-05,4.97398463345624e-06,0.000503821815007352,7.71151570685808e-07,6.47698302147458e-05,62
4.04337289674157e-06,4.77819458087819e-06,0.00049684559643011,4.87215418246377e-07,1.62022255132381e-05,85
5.78396880665876e-06,4.24295425823934e-06,0.000486348604804657,6.87815549018026e-07,7.16370745838588e-05,90
2.4253670204271e-06,5.64397064080663e-06,0.000499574659848685,6.25481776727871e-07,1.4899266427721e-05,64
4.41442415874309e-06,4.40483848727225e-06,0.000532202174527744,8.17652917903802e-07,7.30718154189654e-05,91
3.26536945760051e-06,4.67410730437895e-06,0.000527320912059381,6.79320596592719e-07,4.1780635970963e-05,65
1.34756609690424e-06,4.07405161165213e-06,0.000463789347827819,5.17742768801447e-07,1.56728113365827e-05,69
8.80030402430061e-06,5.0219687758892e-06,0.000488544584628266,1.2172167781278e-06,5.49519758022094e-05,71
2.74741192157744e-06,4.87394585810748e-06,0.000514829884437035,9.71362769667053e-07,2.82814287093839e-05,73
5.09248573434951e-06,4.0325258235995e-06,0.000517323322508838,4.01412681999917e-07,0.000123871455653665,74
8.03484717495373e-06,4.30139451765642e-06,0.000596098033657077,4.41830590591299e-07,2.78206686227954e-05,75
