time, PP__rbcM, PP__suc, PP__alb, PP__gal, PP__galM, PP__h2oM, S001__rbcM, S001__suc, S001__alb, S001__gal, S001__galM, S001__h2oM, D001__rbcM, D001__suc, D001__alb, D001__gal, D001__galM, D001__h2oM, S002__rbcM, S002__suc, S002__alb, S002__gal, S002__galM, S002__h2oM, D002__rbcM, D002__suc, D002__alb, D002__gal, D002__galM, D002__h2oM, S003__rbcM, S003__suc, S003__alb, S003__gal, S003__galM, S003__h2oM, D003__rbcM, D003__suc, D003__alb, D003__gal, D003__galM, D003__h2oM, S004__rbcM, S004__suc, S004__alb, S004__gal, S004__galM, S004__h2oM, D004__rbcM, D004__suc, D004__alb, D004__gal, D004__galM, D004__h2oM, S005__rbcM, S005__suc, S005__alb, S005__gal, S005__galM, S005__h2oM, D005__rbcM, D005__suc, D005__alb, D005__gal, D005__galM, D005__h2oM, PV__rbcM, PV__suc, PV__alb, PV__gal, PV__galM, PV__h2oM, H01__gal, H01__galM, H01__h2oM, H01__glc1p, H01__glc6p, H01__gal1p, H01__udpglc, H01__udpgal, H01__galtol, H01__atp, H01__adp, H01__utp, H01__udp, H01__phos, H01__ppi, H01__nadp, H01__nadph, FlowPPS001_rbcM, FlowS001S002_rbcM, FlowS002S003_rbcM, FlowS003S004_rbcM, FlowS004S005_rbcM, FlowS005PV_rbcM, FlowPVNULL_rbcM, FlowPPS001_suc, FlowS001S002_suc, FlowS002S003_suc, FlowS003S004_suc, FlowS004S005_suc, FlowS005PV_suc, FlowPVNULL_suc, FlowPPS001_alb, FlowS001S002_alb, FlowS002S003_alb, FlowS003S004_alb, FlowS004S005_alb, FlowS005PV_alb, FlowPVNULL_alb, FlowPPS001_gal, FlowS001S002_gal, FlowS002S003_gal, FlowS003S004_gal, FlowS004S005_gal, FlowS005PV_gal, FlowPVNULL_gal, FlowPPS001_galM, FlowS001S002_galM, FlowS002S003_galM, FlowS003S004_galM, FlowS004S005_galM, FlowS005PV_galM, FlowPVNULL_galM, FlowPPS001_h2oM, FlowS001S002_h2oM, FlowS002S003_h2oM, FlowS003S004_h2oM, FlowS004S005_h2oM, FlowS005PV_h2oM, FlowPVNULL_h2oM, DiffPPS001_rbcM, DiffS001S002_rbcM, DiffS002S003_rbcM, DiffS003S004_rbcM, DiffS004S005_rbcM, DiffS005PV_rbcM, DiffD001D002_rbcM, DiffD002D003_rbcM, DiffD003D004_rbcM, DiffD004D005_rbcM, DiffS001D001_rbcM, DiffS002D002_rbcM, DiffS003D003_rbcM, DiffS004D004_rbcM, DiffS005D005_rbcM, DiffPPS001_suc, DiffS001S002_suc, DiffS002S003_suc, DiffS003S004_suc, DiffS004S005_suc, DiffS005PV_suc, DiffD001D002_suc, DiffD002D003_suc, DiffD003D004_suc, DiffD004D005_suc, DiffS001D001_suc, DiffS002D002_suc, DiffS003D003_suc, DiffS004D004_suc, DiffS005D005_suc, DiffPPS001_alb, DiffS001S002_alb, DiffS002S003_alb, DiffS003S004_alb, DiffS004S005_alb, DiffS005PV_alb, DiffD001D002_alb, DiffD002D003_alb, DiffD003D004_alb, DiffD004D005_alb, DiffS001D001_alb, DiffS002D002_alb, DiffS003D003_alb, DiffS004D004_alb, DiffS005D005_alb, DiffPPS001_gal, DiffS001S002_gal, DiffS002S003_gal, DiffS003S004_gal, DiffS004S005_gal, DiffS005PV_gal, DiffD001D002_gal, DiffD002D003_gal, DiffD003D004_gal, DiffD004D005_gal, DiffS001D001_gal, DiffS002D002_gal, DiffS003D003_gal, DiffS004D004_gal, DiffS005D005_gal, DiffPPS001_galM, DiffS001S002_galM, DiffS002S003_galM, DiffS003S004_galM, DiffS004S005_galM, DiffS005PV_galM, DiffD001D002_galM, DiffD002D003_galM, DiffD003D004_galM, DiffD004D005_galM, DiffS001D001_galM, DiffS002D002_galM, DiffS003D003_galM, DiffS004D004_galM, DiffS005D005_galM, DiffPPS001_h2oM, DiffS001S002_h2oM, DiffS002S003_h2oM, DiffS003S004_h2oM, DiffS004S005_h2oM, DiffS005PV_h2oM, DiffD001D002_h2oM, DiffD002D003_h2oM, DiffD003D004_h2oM, DiffD004D005_h2oM, DiffS001D001_h2oM, DiffS002D002_h2oM, DiffS003D003_h2oM, DiffS004D004_h2oM, DiffS005D005_h2oM, H01__GALK, H01__GALKM, H01__IMP, H01__ATPS, H01__ALDR, H01__NADPR, H01__GALT, H01__GALE, H01__UGP, H01__UGALP, H01__PPASE, H01__NDKU, H01__PGM1, H01__GLY, H01__GTFGAL, H01__GTFGLC, D001__GLUT2_GAL, D001__GLUT2_GALM, D002__GLUT2_GAL, D002__GLUT2_GALM, D003__GLUT2_GAL, D003__GLUT2_GALM, D004__GLUT2_GAL, D004__GLUT2_GALM, D005__GLUT2_GAL, D005__GLUT2_GALM
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0.00012, 0, 0, 0.012, 0.12, 0.001, 0.34, 0.11, 0.001, 2.7, 1.2, 0.27, 0.09, 5, 0.008, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 1.45971e-18, 1.45971e-18, 1.45971e-18, 1.45971e-18, 1.45971e-18, 1.45971e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43256e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65829e-19, 0, 1.23932e-18, 1.75045e-13, -9.42482e-15, 0, -2.90665e-17, 4.00965e-17, -4.94769e-14, -1.02296e-17, 1.48393e-16, -3.3465e-13, 0, 0, 9.11429e-17, 0, 3.17017e-31, 0, 3.17017e-31, 0, 3.17017e-31, 0, 3.17017e-31, 0, 3.17017e-31, 0
6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.238608, 0, 0, 0, 0, 0, 0.231936, 0, 0, 0, 0, 0, 0.231435, 0, 0, 0, 0, 0, 0.231533, 0, 0, 0, 0, 0, 0.231368, 0, 0, 0, 0, 0, 0.231529, 0, 0, 0, 0, 0, 0.231367, 0, 0, 0, 0, 0, 0.231529, 0, 0, 0, 0, 0, 0.231364, 0, 0, 0, 0, 0, 0.231529, 0, 0, 0, 0, 0, 0.212631, 0, 0, 0.231543, 0, 0, 0.0120565, 0.120347, 0.0293762, 0.334106, 0.109418, 0.0843257, 2.8694, 1.0306, 0.26963, 0.0968457, 4.80942, 0.00438029, 0.183308, 0.0166918, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 2.90248e-15, 2.81523e-15, 2.81441e-15, 2.8144e-15, 2.81436e-15, 2.5865e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85235e-16, 1.74493e-18, 1.64378e-20, 1.55005e-22, 8.43309e-22, 4.55731e-18, 3.88199e-20, 3.65847e-22, 3.44993e-24, 1.87613e-23, 9.22277e-15, -1.35607e-16, -2.23764e-16, -2.24595e-16, -2.29118e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62577e-15, 0, 3.36833e-17, 1.44586e-15, 3.41382e-16, 6.49021e-19, 1.2362e-16, 1.54651e-17, -2.53675e-17, 4.2921e-17, 1.33392e-17, 4.99386e-17, 1.45226e-16, 1.20936e-16, 9.09127e-17, 0, 9.13371e-15, 0, -2.24638e-16, 0, -3.12833e-16, 0, -3.13665e-16, 0, -3.18188e-16, 0
12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.415504, 0, 0, 0, 0, 0, 0.410361, 0, 0, 0, 0, 0, 0.409997, 0, 0, 0, 0, 0, 0.410051, 0, 0, 0, 0, 0, 0.409945, 0, 0, 0, 0, 0, 0.410048, 0, 0, 0, 0, 0, 0.409945, 0, 0, 0, 0, 0, 0.410048, 0, 0, 0, 0, 0, 0.409942, 0, 0, 0, 0, 0, 0.410048, 0, 0, 0, 0, 0, 0.397962, 0, 0, 0.410057, 0, 0, 0.0122165, 0.121392, 0.091567, 0.324432, 0.116464, 0.0905761, 2.85982, 1.04018, 0.270656, 0.0984472, 4.75416, 0.00459572, 0.189533, 0.0104666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 5.05429e-15, 4.9873e-15, 4.98667e-15, 4.98667e-15, 4.98664e-15, 4.8409e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42199e-16, 1.33979e-18, 1.26236e-20, 1.19041e-22, 5.39679e-22, 2.9147e-18, 2.99233e-20, 2.82059e-22, 2.65987e-24, 1.20534e-23, 7.10899e-15, -7.4844e-17, -1.42529e-16, -1.43168e-16, -1.46061e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47772e-15, 0, 9.02052e-17, 2.24794e-15, 8.18835e-17, 7.07377e-19, 3.92034e-16, -1.77095e-16, -1.26791e-16, 1.50157e-16, 1.61634e-17, 4.85361e-17, 5.14272e-16, 4.84391e-16, 9.36173e-17, 0, 7.05221e-15, 0, -1.31591e-16, 0, -1.99306e-16, 0, -1.99945e-16, 0, -2.02839e-16, 0
18, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.528479, 0, 0, 0, 0, 0, 0.524314, 0, 0, 0, 0, 0, 0.524036, 0, 0, 0, 0, 0, 0.524063, 0, 0, 0, 0, 0, 0.523994, 0, 0, 0, 0, 0, 0.524061, 0, 0, 0, 0, 0, 0.523994, 0, 0, 0, 0, 0, 0.524061, 0, 0, 0, 0, 0, 0.523993, 0, 0, 0, 0, 0, 0.524061, 0, 0, 0, 0, 0, 0.516295, 0, 0, 0.524066, 0, 0, 0.0123758, 0.122439, 0.159906, 0.310644, 0.127707, 0.0926073, 2.84957, 1.05043, 0.271546, 0.100104, 4.69339, 0.00488688, 0.191538, 0.00846173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 6.42855e-15, 6.37451e-15, 6.374e-15, 6.37399e-15, 6.37397e-15, 6.28034e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14714e-16, 1.08094e-18, 1.01859e-20, 9.60475e-23, 3.46973e-22, 1.87268e-18, 2.42023e-20, 2.28158e-22, 2.15143e-24, 7.76876e-24, 5.75807e-15, -3.69959e-17, -9.16025e-17, -9.21174e-17, -9.39775e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88631e-15, 0, 1.36416e-16, 2.66308e-15, 3.24874e-17, 7.26524e-19, 6.33359e-16, -4.87568e-16, -2.45204e-16, 2.74274e-16, 2.06654e-17, 5.2818e-17, 8.74517e-16, 8.47927e-16, 9.75859e-17, 0, 5.72153e-15, 0, -7.35044e-17, 0, -1.28135e-16, 0, -1.2865e-16, 0, -1.3051e-16, 0
24, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.601746, 0, 0, 0, 0, 0, 0.598215, 0, 0, 0, 0, 0, 0.597993, 0, 0, 0, 0, 0, 0.598002, 0, 0, 0, 0, 0, 0.597957, 0, 0, 0, 0, 0, 0.598, 0, 0, 0, 0, 0, 0.597957, 0, 0, 0, 0, 0, 0.598, 0, 0, 0, 0, 0, 0.597956, 0, 0, 0, 0, 0, 0.598, 0, 0, 0, 0, 0, 0.592927, 0, 0, 0.598004, 0, 0, 0.0125118, 0.123333, 0.22529, 0.296682, 0.13919, 0.0935671, 2.83975, 1.06025, 0.272414, 0.101714, 4.63531, 0.00519821, 0.192471, 0.00752882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 7.31978e-15, 7.27413e-15, 7.2737e-15, 7.27369e-15, 7.27368e-15, 7.21251e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.68893e-17, 9.13039e-19, 8.60426e-21, 8.11264e-23, 2.26884e-22, 1.2235e-18, 2.04759e-20, 1.93041e-22, 1.82013e-24, 5.08814e-24, 4.88074e-15, -1.37061e-17, -5.9829e-17, -6.02639e-17, -6.14801e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09823e-15, 0, 1.70351e-16, 2.89905e-15, 1.86521e-17, 7.35494e-19, 8.1819e-16, -8.21699e-16, -3.65414e-16, 4.00285e-16, 2.64563e-17, 5.84797e-17, 1.18023e-15, 1.15808e-15, 1.01254e-16, 0, 4.85683e-15, 0, -3.75862e-17, 0, -8.37294e-17, 0, -8.41645e-17, 0, -8.53807e-17, 0
30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.650016, 0, 0, 0, 0, 0, 0.646903, 0, 0, 0, 0, 0, 0.646717, 0, 0, 0, 0, 0, 0.646717, 0, 0, 0, 0, 0, 0.646686, 0, 0, 0, 0, 0, 0.646715, 0, 0, 0, 0, 0, 0.646686, 0, 0, 0, 0, 0, 0.646715, 0, 0, 0, 0, 0, 0.646685, 0, 0, 0, 0, 0, 0.646715, 0, 0, 0, 0, 0, 0.64335, 0, 0, 0.646717, 0, 0, 0.0126245, 0.124073, 0.28497, 0.284376, 0.149114, 0.0941029, 2.83071, 1.06929, 0.273276, 0.103234, 4.58235, 0.00549744, 0.19298, 0.00702008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 7.90695e-15, 7.86683e-15, 7.86645e-15, 7.86645e-15, 7.86644e-15, 7.82587e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.51459e-17, 8.02403e-19, 7.56192e-21, 7.1292e-23, 1.50655e-22, 8.11499e-19, 1.80138e-20, 1.69835e-22, 1.60118e-24, 3.38221e-24, 4.30199e-15, 8.96374e-19, -3.96366e-17, -4.00187e-17, -4.08262e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21181e-15, 0, 1.95225e-16, 3.04166e-15, 1.18116e-17, 7.40401e-19, 9.55126e-16, -1.12849e-15, -4.8061e-16, 5.21535e-16, 3.30942e-17, 6.41843e-17, 1.43294e-15, 1.41463e-15, 1.04152e-16, 0, 4.28611e-15, 0, -1.49576e-17, 0, -5.55083e-17, 0, -5.58906e-17, 0, -5.66981e-17, 0
36, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.682287, 0, 0, 0, 0, 0, 0.679455, 0, 0, 0, 0, 0, 0.679293, 0, 0, 0, 0, 0, 0.679285, 0, 0, 0, 0, 0, 0.679264, 0, 0, 0, 0, 0, 0.679284, 0, 0, 0, 0, 0, 0.679264, 0, 0, 0, 0, 0, 0.679284, 0, 0, 0, 0, 0, 0.679264, 0, 0, 0, 0, 0, 0.679284, 0, 0, 0, 0, 0, 0.677019, 0, 0, 0.679285, 0, 0, 0.0127181, 0.124686, 0.338304, 0.274114, 0.157129, 0.0944328, 2.82255, 1.07745, 0.274115, 0.104643, 4.53508, 0.0057706, 0.193283, 0.00671745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 8.2995e-15, 8.26308e-15, 8.26274e-15, 8.26274e-15, 8.26273e-15, 8.23543e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72949e-17, 7.2843e-19, 6.86493e-21, 6.47157e-23, 1.01527e-22, 5.46007e-19, 1.63647e-20, 1.5429e-22, 1.4545e-24, 2.2809e-24, 3.9146e-15, 1.01844e-17, -2.6611e-17, -2.69579e-17, -2.75021e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27252e-15, 0, 2.13804e-16, 3.13194e-15, 6.51179e-18, 7.43326e-19, 1.05712e-15, -1.3915e-15, -5.87423e-16, 6.34639e-16, 4.01783e-17, 6.95809e-17, 1.64221e-15, 1.62699e-15, 1.0633e-16, 0, 3.9039e-15, 0, -4.91621e-19, 0, -3.73031e-17, 0, -3.76502e-17, 0, -3.81944e-17, 0
42, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.704175, 0, 0, 0, 0, 0, 0.701534, 0, 0, 0, 0, 0, 0.701388, 0, 0, 0, 0, 0, 0.701376, 0, 0, 0, 0, 0, 0.701361, 0, 0, 0, 0, 0, 0.701374, 0, 0, 0, 0, 0, 0.701361, 0, 0, 0, 0, 0, 0.701374, 0, 0, 0, 0, 0, 0.701361, 0, 0, 0, 0, 0, 0.701374, 0, 0, 0, 0, 0, 0.699828, 0, 0, 0.701375, 0, 0, 0.0127963, 0.125198, 0.385438, 0.265694, 0.163465, 0.0946503, 2.81527, 1.08473, 0.274911, 0.10593, 4.49336, 0.00601416, 0.193473, 0.00652727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 8.56576e-15, 8.53185e-15, 8.53153e-15, 8.53153e-15, 8.53153e-15, 8.51288e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19697e-17, 6.78253e-19, 6.39212e-21, 6.02546e-23, 6.94766e-23, 3.72819e-19, 1.52447e-20, 1.43733e-22, 1.35489e-24, 1.5616e-24, 3.65151e-15, 1.61533e-17, -1.81069e-17, -1.84299e-17, -1.88023e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30363e-15, 0, 2.2798e-16, 3.19138e-15, 3.80389e-18, 7.45166e-19, 1.1342e-15, -1.61132e-15, -6.84446e-16, 7.38083e-16, 4.74029e-17, 7.45955e-17, 1.8167e-15, 1.80395e-15, 1.07957e-16, 0, 3.64419e-15, 0, 8.85819e-18, 0, -2.5417e-17, 0, -2.57401e-17, 0, -2.61125e-17, 0
48, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.719251, 0, 0, 0, 0, 0, 0.71674, 0, 0, 0, 0, 0, 0.716605, 0, 0, 0, 0, 0, 0.716591, 0, 0, 0, 0, 0, 0.71658, 0, 0, 0, 0, 0, 0.716589, 0, 0, 0, 0, 0, 0.71658, 0, 0, 0, 0, 0, 0.716589, 0, 0, 0, 0, 0, 0.71658, 0, 0, 0, 0, 0, 0.716589, 0, 0, 0, 0, 0, 0.715517, 0, 0, 0.71659, 0, 0, 0.012862, 0.125628, 0.426822, 0.258783, 0.168477, 0.0948019, 2.80881, 1.09119, 0.275649, 0.107092, 4.45677, 0.00622911, 0.193597, 0.00640303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 8.74914e-15, 8.71696e-15, 8.71666e-15, 8.71665e-15, 8.71665e-15, 8.70372e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8302e-17, 6.43693e-19, 6.06646e-21, 5.71819e-23, 4.83359e-23, 2.58596e-19, 1.44727e-20, 1.36455e-22, 1.28622e-24, 1.08679e-24, 3.47008e-15, 2.00203e-17, -1.24938e-17, -1.28003e-17, -1.30593e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31788e-15, 0, 2.39009e-16, 3.23194e-15, 3.21029e-18, 7.46368e-19, 1.19332e-15, -1.79411e-15, -7.71428e-16, 8.31466e-16, 5.4551e-17, 7.92217e-17, 1.96311e-15, 1.95238e-15, 1.0919e-16, 0, 3.46499e-15, 0, 1.49571e-17, 0, -1.75712e-17, 0, -1.78779e-17, 0, -1.81369e-17, 0
54, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.729805, 0, 0, 0, 0, 0, 0.727387, 0, 0, 0, 0, 0, 0.727259, 0, 0, 0, 0, 0, 0.727242, 0, 0, 0, 0, 0, 0.727235, 0, 0, 0, 0, 0, 0.727241, 0, 0, 0, 0, 0, 0.727235, 0, 0, 0, 0, 0, 0.727241, 0, 0, 0, 0, 0, 0.727234, 0, 0, 0, 0, 0, 0.727241, 0, 0, 0, 0, 0, 0.726484, 0, 0, 0.727242, 0, 0, 0.0129174, 0.12599, 0.463012, 0.253075, 0.172477, 0.094913, 2.80312, 1.09688, 0.276317, 0.108131, 4.42481, 0.00641786, 0.193681, 0.00631936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 8.87753e-15, 8.84656e-15, 8.84626e-15, 8.84626e-15, 8.84626e-15, 8.83714e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57343e-17, 6.19498e-19, 5.83846e-21, 5.50308e-23, 3.42416e-23, 1.82451e-19, 1.39319e-20, 1.31357e-22, 1.23811e-24, 7.70071e-25, 3.34287e-15, 2.25427e-17, -8.74892e-18, -9.04386e-18, -9.22738e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3225e-15, 0, 2.47733e-16, 3.26057e-15, 2.74462e-18, 7.47179e-19, 1.23928e-15, -1.94659e-15, -8.48731e-16, 9.15011e-16, 6.14691e-17, 8.34658e-17, 2.08662e-15, 2.07754e-15, 1.10141e-16, 0, 3.33927e-15, 0, 1.89687e-17, 0, -1.23366e-17, 0, -1.26317e-17, 0, -1.28152e-17, 0
