time, S001__rbcM, S001__suc, S001__alb, S001__gal, S001__galM, S001__h2oM, D001__rbcM, D001__suc, D001__alb, D001__gal, D001__galM, D001__h2oM, S002__rbcM, S002__suc, S002__alb, S002__gal, S002__galM, S002__h2oM, D002__rbcM, D002__suc, D002__alb, D002__gal, D002__galM, D002__h2oM, S003__rbcM, S003__suc, S003__alb, S003__gal, S003__galM, S003__h2oM, D003__rbcM, D003__suc, D003__alb, D003__gal, D003__galM, D003__h2oM, S004__rbcM, S004__suc, S004__alb, S004__gal, S004__galM, S004__h2oM, D004__rbcM, D004__suc, D004__alb, D004__gal, D004__galM, D004__h2oM, S005__rbcM, S005__suc, S005__alb, S005__gal, S005__galM, S005__h2oM, D005__rbcM, D005__suc, D005__alb, D005__gal, D005__galM, D005__h2oM, PV__rbcM, PV__suc, PV__alb, PV__gal, PV__galM, PV__h2oM, H01__gal, H01__galM, H01__h2oM, H01__glc1p, H01__glc6p, H01__gal1p, H01__udpglc, H01__udpgal, H01__galtol, H01__atp, H01__adp, H01__utp, H01__udp, H01__phos, H01__ppi, H01__nadp, H01__nadph
0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0, 0, 0, 0.00012, 0, 0, 0.00012, 0, 0, 0.012, 0.12, 0.001, 0.34, 0.11, 0.001, 2.7, 1.2, 0.27, 0.09, 5, 0.008, 0.1, 0.1
0.5, 0, 0, 0, 0.000217601, 0, 0, 0, 0, 0, 0.000217871, 0, 0, 0, 0, 0, 0.000217891, 0, 0, 0, 0, 0, 0.000217887, 0, 0, 0, 0, 0, 0.000217892, 0, 0, 0, 0, 0, 0.000217887, 0, 0, 0, 0, 0, 0.000217892, 0, 0, 0, 0, 0, 0.000217887, 0, 0, 0, 0, 0, 0.000217879, 0, 0, 0, 0, 0, 0.000217887, 0, 0, 0, 0, 0, 0.000146566, 0, 0, 0.000217887, 0, 0, 0.0121321, 0.121298, 0.00106358, 0.336384, 0.109726, 0.000873789, 2.86805, 1.03195, 0.267563, 0.0963278, 4.84021, 0.00434143, 0.0998738, 0.100126
1, 0, 0, 0, 0.00021709, 0, 0, 0, 0, 0, 0.000217359, 0, 0, 0, 0, 0, 0.000217379, 0, 0, 0, 0, 0, 0.000217376, 0, 0, 0, 0, 0, 0.00021738, 0, 0, 0, 0, 0, 0.000217376, 0, 0, 0, 0, 0, 0.00021738, 0, 0, 0, 0, 0, 0.000217376, 0, 0, 0, 0, 0, 0.00021737, 0, 0, 0, 0, 0, 0.000217375, 0, 0, 0, 0, 0, 0.000166021, 0, 0, 0.000217375, 0, 0, 0.0120436, 0.120449, 0.00112316, 0.336383, 0.109468, 0.000871768, 2.87432, 1.02568, 0.268374, 0.095774, 4.83404, 0.00432298, 0.0998718, 0.100128
1.5, 0, 0, 0, 0.00021663, 0, 0, 0, 0, 0, 0.000216898, 0, 0, 0, 0, 0, 0.000216917, 0, 0, 0, 0, 0, 0.000216914, 0, 0, 0, 0, 0, 0.000216918, 0, 0, 0, 0, 0, 0.000216914, 0, 0, 0, 0, 0, 0.000216918, 0, 0, 0, 0, 0, 0.000216914, 0, 0, 0, 0, 0, 0.000216911, 0, 0, 0, 0, 0, 0.000216914, 0, 0, 0, 0, 0, 0.000180016, 0, 0, 0.000216914, 0, 0, 0.0120088, 0.120122, 0.00118074, 0.336376, 0.109227, 0.000869947, 2.87459, 1.02541, 0.268584, 0.0958135, 4.83389, 0.00431372, 0.09987, 0.10013
2, 0, 0, 0, 0.000216218, 0, 0, 0, 0, 0, 0.000216486, 0, 0, 0, 0, 0, 0.000216504, 0, 0, 0, 0, 0, 0.000216502, 0, 0, 0, 0, 0, 0.000216505, 0, 0, 0, 0, 0, 0.000216502, 0, 0, 0, 0, 0, 0.000216505, 0, 0, 0, 0, 0, 0.000216502, 0, 0, 0, 0, 0, 0.0002165, 0, 0, 0, 0, 0, 0.000216501, 0, 0, 0, 0, 0, 0.000190059, 0, 0, 0.000216501, 0, 0, 0.0119952, 0.119993, 0.00123659, 0.336361, 0.109001, 0.000868317, 2.87459, 1.02541, 0.268762, 0.0958766, 4.8338, 0.00431178, 0.0998683, 0.100132
2.5, 0, 0, 0, 0.000215852, 0, 0, 0, 0, 0, 0.000216119, 0, 0, 0, 0, 0, 0.000216137, 0, 0, 0, 0, 0, 0.000216135, 0, 0, 0, 0, 0, 0.000216138, 0, 0, 0, 0, 0, 0.000216135, 0, 0, 0, 0, 0, 0.000216138, 0, 0, 0, 0, 0, 0.000216135, 0, 0, 0, 0, 0, 0.000216134, 0, 0, 0, 0, 0, 0.000216135, 0, 0, 0, 0, 0, 0.000197246, 0, 0, 0.000216135, 0, 0, 0.0119899, 0.119943, 0.00129088, 0.336335, 0.108788, 0.000866868, 2.87457, 1.02543, 0.268935, 0.095941, 4.83364, 0.00431295, 0.0998669, 0.100133
3, 0, 0, 0, 0.00021553, 0, 0, 0, 0, 0, 0.000215797, 0, 0, 0, 0, 0, 0.000215814, 0, 0, 0, 0, 0, 0.000215812, 0, 0, 0, 0, 0, 0.000215815, 0, 0, 0, 0, 0, 0.000215812, 0, 0, 0, 0, 0, 0.000215815, 0, 0, 0, 0, 0, 0.000215812, 0, 0, 0, 0, 0, 0.000215813, 0, 0, 0, 0, 0, 0.000215812, 0, 0, 0, 0, 0, 0.000202371, 0, 0, 0.000215812, 0, 0, 0.0119879, 0.119924, 0.00134368, 0.336299, 0.108588, 0.000865594, 2.87454, 1.02546, 0.269107, 0.0960057, 4.83346, 0.00431544, 0.0998656, 0.100134
3.5, 0, 0, 0, 0.000215251, 0, 0, 0, 0, 0, 0.000215517, 0, 0, 0, 0, 0, 0.000215534, 0, 0, 0, 0, 0, 0.000215532, 0, 0, 0, 0, 0, 0.000215535, 0, 0, 0, 0, 0, 0.000215533, 0, 0, 0, 0, 0, 0.000215535, 0, 0, 0, 0, 0, 0.000215533, 0, 0, 0, 0, 0, 0.000215533, 0, 0, 0, 0, 0, 0.000215532, 0, 0, 0, 0, 0, 0.000206011, 0, 0, 0.000215532, 0, 0, 0.0119872, 0.119917, 0.00139505, 0.336252, 0.1084, 0.000864487, 2.87451, 1.02549, 0.269278, 0.0960703, 4.83327, 0.00431852, 0.0998645, 0.100135
4, 0, 0, 0, 0.000215012, 0, 0, 0, 0, 0, 0.000215278, 0, 0, 0, 0, 0, 0.000215295, 0, 0, 0, 0, 0, 0.000215294, 0, 0, 0, 0, 0, 0.000215296, 0, 0, 0, 0, 0, 0.000215294, 0, 0, 0, 0, 0, 0.000215296, 0, 0, 0, 0, 0, 0.000215294, 0, 0, 0, 0, 0, 0.000215294, 0, 0, 0, 0, 0, 0.000215294, 0, 0, 0, 0, 0, 0.000208583, 0, 0, 0.000215293, 0, 0, 0.011987, 0.119915, 0.00144504, 0.336195, 0.108222, 0.000863543, 2.87448, 1.02552, 0.269448, 0.0961349, 4.83308, 0.00432191, 0.0998636, 0.100136
4.5, 0, 0, 0, 0.000214813, 0, 0, 0, 0, 0, 0.000215079, 0, 0, 0, 0, 0, 0.000215095, 0, 0, 0, 0, 0, 0.000215094, 0, 0, 0, 0, 0, 0.000215096, 0, 0, 0, 0, 0, 0.000215094, 0, 0, 0, 0, 0, 0.000215096, 0, 0, 0, 0, 0, 0.000215094, 0, 0, 0, 0, 0, 0.000215095, 0, 0, 0, 0, 0, 0.000215094, 0, 0, 0, 0, 0, 0.000210391, 0, 0, 0.000215094, 0, 0, 0.011987, 0.119915, 0.0014937, 0.336129, 0.108054, 0.000862754, 2.87445, 1.02555, 0.269618, 0.0961993, 4.83288, 0.00432548, 0.0998628, 0.100137
