SBMLId	SBMLType	AnnotationType	AnnotationId	AnnotationQualifier	AnnotationSource
c__GLUT2_GAL	transporter	RDF	P11168	is	urn:miriam:uniprot
c__GLUT2_GAL	transporter	RDF	227810	hasProperty	urn:miriam:omim
c__GLUT2_GAL	transporter	RDF	227810	isDescribedBy	urn:miriam:pubmed
c__GLUT2_GALM	transporter	RDF	P11168	is	urn:miriam:uniprot
c__GLUT2_GALM	transporter	RDF	227810	hasProperty	urn:miriam:omim
c__GLUT2_GALM	transporter	RDF	227810	isDescribedBy	urn:miriam:pubmed
					
					
					
c__GALK	reaction	RDF	2.7.1.6	is	urn:miriam:ec-code
c__GALK	reaction	RDF	P51570	is	urn:miriam:uniprot
c__GALK	reaction	RDF	R01092	is	urn:miriam:kegg.reaction
c__GALK	reaction	RDF	13556	is	urn:miriam:rhea
c__GALK	reaction	RDF	230200	hasProperty	urn:miriam:omim
c__GALK	reaction	RDF	12694189	is	urn:miriam:pubmed
GALK_kcat	parameter	RDF	14785	is	urn:miriam:sabiork.kineticrecord
GALK_kcat	parameter	RDF	12694189	isDescribedBy	urn:miriam:pubmed
GALK_k_atp	parameter	RDF	14792	is	urn:miriam:sabiork.kineticrecord
GALK_k_atp	parameter	RDF	12694189	isDescribedBy	urn:miriam:pubmed
GALK_k_gal	parameter	RDF	14785	is	urn:miriam:sabiork.kineticrecord
GALK_k_gal	parameter	RDF	12694189	isDescribedBy	urn:miriam:pubmed
GALK_k_gal	parameter	RDF	45367	is	urn:miriam:sabiork.kineticrecord
GALK_k_gal	parameter	RDF	15024738	isDescribedBy	urn:miriam:pubmed
c__GALKM	reaction	RDF	2.7.1.6	is	urn:miriam:ec-code
c__GALKM	reaction	RDF	P51570	is	urn:miriam:uniprot
c__GALKM	reaction	RDF	R01092	is	urn:miriam:kegg.reaction
c__GALKM	reaction	RDF	13556	is	urn:miriam:rhea
c__GALKM	reaction	RDF	230200	hasProperty	urn:miriam:omim
c__GALKM	reaction	RDF	12694189	is	urn:miriam:pubmed
					
c__IMP	reaction	RDF	3.1.3.25	is	urn:miriam:ec-code
c__IMP	reaction	RDF	P29218	is	urn:miriam:uniprot
					
c__GALT	reaction	RDF	2.7.7.12	is	urn:miriam:ec-code
c__GALT	reaction	RDF	P07902	is	urn:miriam:uniprot
c__GALT	reaction	RDF	13992	is	urn:miriam:rhea
c__GALT	reaction	RDF	R00955	is	urn:miriam:kegg.reaction
c__GALT	reaction	RDF	230400	hasProperty	urn:miriam:omim
					
c__GALE	reaction	RDF	5.1.3.2	is	urn:miriam:ec-code
c__GALE	reaction	RDF	Q14376	is	urn:miriam:uniprot
