time	outflow	compound	condition
6.8381486	2.174543	RBC	A
7.9688597	10.959793	RBC	A
9.357761	15.169429	RBC	A
10.530135	9.356704	RBC	A
11.861951	4.6224904	RBC	A
13.194968	2.1493807	RBC	A
14.447664	1.1510888	RBC	A
15.612427	1.0421475	RBC	A
16.851501	1.109099	RBC	A
18.01386	1.1335019	RBC	A
19.333258	1.0473821	RBC	A
9.323509	1.7122039	sucrose	A
10.468642	4.1706176	sucrose	A
11.700507	6.3846374	sucrose	A
12.861664	6.9327245	sucrose	A
14.493533	5.677232	sucrose	A
15.582782	4.645709	sucrose	A
16.750349	3.6514792	sucrose	A
18.073751	2.7569728	sucrose	A
19.397154	2.0815945	sucrose	A
20.564322	1.669494	sucrose	A
21.881313	1.7414035	sucrose	A
23.20632	1.2127613	sucrose	A
24.370682	1.1203858	sucrose	A
25.534643	1.0561651	sucrose	A
9.427868	0.44246763	galactose	A
10.576606	0.89862615	galactose	A
11.891195	1.0580962	galactose	A
13.1306715	1.1035559	galactose	A
14.450869	0.9793398	galactose	A
15.617234	0.8178356	galactose	A
16.938633	0.6831079	galactose	A
18.02708	0.58203423	galactose	A
19.4268	0.46695316	galactose	A
20.593164	0.38994732	galactose	A
21.992882	0.31284606	galactose	A
23.159649	0.25603032	galactose	A
24.40393	0.20955472	galactose	A
25.570698	0.17149763	galactose	A
27.048332	0.13485166	galactose	A
28.13718	0.11260135	galactose	A
6.4611425	0.097264044	RBC	B
7.5938735	11.714277	RBC	B
8.852321	13.545017	RBC	B
10.049196	9.80027	RBC	B
11.248828	6.4039626	RBC	B
12.450115	3.9365053	RBC	B
13.725655	2.4201295	RBC	B
14.924736	1.6139828	RBC	B
15.974759	1.0981895	RBC	B
17.172186	0.77854955	RBC	B
18.44166	0.5989067	RBC	B
19.633574	0.5205515	RBC	B
20.747374	0.5217343	RBC	B
21.934324	0.5447534	RBC	B
6.980916	0.09736712	sucrose	B
7.7276764	1.2972659	sucrose	B
8.811702	3.9074266	sucrose	B
9.9859705	6.5190034	sucrose	B
11.2427635	8.012978	sucrose	B
12.431919	7.711631	sucrose	B
13.624935	6.4350457	sucrose	B
14.893858	5.0521255	sucrose	B
15.93947	4.046215	sucrose	B
17.209496	3.0498068	sucrose	B
18.480625	2.2069707	sucrose	B
19.601593	1.6972195	sucrose	B
20.870516	1.3324794	sucrose	B
21.98983	1.0893078	sucrose	B
23.183949	0.8726838	sucrose	B
24.451218	0.7283297	sucrose	B
25.643682	0.62027323	sucrose	B
26.684332	0.59676576	sucrose	B
7.2031245	0.09941663	galactose	B
7.7535915	0.49785146	galactose	B
8.920692	1.0825162	galactose	B
10.097718	1.6310865	galactose	B
11.279155	2.0879645	galactose	B
12.465553	2.2249653	galactose	B
13.655261	2.098099	galactose	B
14.843865	2.0607622	galactose	B
15.958769	1.9829624	galactose	B
17.222729	1.870178	galactose	B
18.411335	1.836897	galactose	B
19.675295	1.7324204	galactose	B
20.717047	1.6002029	galactose	B
21.83195	1.5397906	galactose	B
23.170715	1.4231356	galactose	B
24.35932	1.3978101	galactose	B
25.622177	1.373143	galactose	B
26.811886	1.2948472	galactose	B
28.001593	1.2210158	galactose	B
29.265003	1.1752745	galactose	B
3.8277097	0.09901982	RBC	C
4.200391	1.121382	RBC	C
5.4372354	11.252305	RBC	C
6.835196	13.873718	RBC	C
8.0289135	7.989854	RBC	C
9.3105135	3.5962086	RBC	C
10.588858	1.7573647	RBC	C
11.863947	0.9323734	RBC	C
13.04546	0.73088986	RBC	C
14.450743	0.74895144	RBC	C
15.691657	0.94220793	RBC	C
4.687805	0.097233824	sucrose	C
5.5365086	0.91634095	sucrose	C
6.732668	3.570886	sucrose	C
7.9613757	6.1148415	sucrose	C
9.285288	6.801502	sucrose	C
10.619779	5.7911377	sucrose	C
11.881848	4.269094	sucrose	C
13.143919	3.1470783	sucrose	C
14.405175	2.3681388	sucrose	C
15.668059	1.7102171	sucrose	C
16.773895	1.2601931	sucrose	C
18.112455	0.9681829	sucrose	C
19.523436	0.85914195	sucrose	C
20.620321	0.79369915	sucrose	C
21.951557	0.7337125	sucrose	C
23.281166	0.7067265	sucrose	C
24.609146	0.70930386	sucrose	C
5.0002713	0.097317144	galactose	C
5.484431	0.4745439	galactose	C
6.7619615	1.7036378	galactose	C
8.071227	2.7434452	galactose	C
9.4756975	2.869629	galactose	C
10.653141	2.493024	galactose	C
11.832212	2.0786042	galactose	C
13.165889	1.8065857	galactose	C
14.420636	1.6024337	galactose	C
15.515895	1.5425049	galactose	C
16.927689	1.3409306	galactose	C
18.179993	1.2650597	galactose	C
19.431486	1.21827	galactose	C
20.840837	1.126436	galactose	C
22.091516	1.1073036	galactose	C
23.343008	1.0663486	galactose	C
24.593685	1.0482368	galactose	C
25.923294	1.0096827	galactose	C
27.173159	1.0131478	galactose	C
28.42465	0.9756753	galactose	C
29.597212	0.95889825	galactose	C

