time	outflow	compound
1.5834284	0.17678298	RBC
3.0903099	6.3591857	RBC
4.9766455	14.288503	RBC
6.684267	9.0576725	RBC
8.357989	4.2411547	RBC
9.95251	2.324096	RBC
14.274445	0.41749522	RBC
3.099058	1.1821908	albumin
5.053661	5.406795	albumin
6.586787	7.7006087	albumin
8.470467	6.702567	albumin
10.070298	5.1766315	albumin
11.708715	3.5814924	albumin
14.881977	1.4961078	albumin
20.755629	0.34165314	albumin
3.0884352	0.39994422	Na
6.666927	4.870171	Na
8.42407	6.196589	Na
10.038274	5.728987	Na
11.645916	4.778233	Na
13.526158	3.5271115	Na
15.055067	2.5997283	Na
16.74488	1.878683	Na
3.1668568	0.35356596	sucrose
6.666927	4.870171	sucrose
8.42407	6.196589	sucrose
10.038274	5.728987	sucrose
11.645916	4.778233	sucrose
13.526158	3.5271115	sucrose
15.055067	2.5997283	sucrose
16.74488	1.878683	sucrose

4.9024415	0.09248369	water
6.605377	0.3377428	water
8.307688	0.5369874	water
9.9711	0.7824284	water
11.594676	1.005044	water
13.33776	1.2961358	water
15.000235	1.472555	water
16.741756	1.6486105	water
18.365957	1.9172406	water
20.06608	1.9554344	water
21.726055	1.9477956	water
23.42618	1.9859896	water
25.004921	1.8176638	water

