time	outflow	compound	log
11.485738	101.32352	RBC	TRUE
12.491186	291.517	RBC	TRUE
13.014514	575.06177	RBC	TRUE
16.15448	1443.7595	RBC	TRUE
17.514307	2375.714	RBC	TRUE
20.536835	2522.3425	RBC	TRUE
25.673275	2009.4023	RBC	TRUE
34.606934	901.29517	RBC	TRUE
43.55501	449.33353	RBC	TRUE
50.368572	256.71063	RBC	TRUE
56.765945	163.02415	RBC	TRUE
60.600246	120.45422	RBC	TRUE
63.155075	97.460915	RBC	TRUE
11.485738	101.32352	albumin	TRUE
12.491186	291.517	albumin	TRUE
13.014514	575.06177	albumin	TRUE
16.15448	1443.7595	albumin	TRUE
17.514307	2375.714	albumin	TRUE
20.536835	2522.3425	albumin	TRUE
25.673275	2009.4023	albumin	TRUE
34.606934	901.29517	albumin	TRUE
43.55501	449.33353	albumin	TRUE
50.368572	256.71063	albumin	TRUE
56.765945	163.02415	albumin	TRUE
60.600246	120.45422	albumin	TRUE
63.155075	97.460915	albumin	TRUE
12.344902	99.79071	sucrose	TRUE
13.787144	300.38934	sucrose	TRUE
15.155212	525.06537	sucrose	TRUE
15.627031	710.11633	sucrose	TRUE
17.431894	1298.6709	sucrose	TRUE
19.628222	1782.5723	sucrose	TRUE
25.236483	1920.5524	sucrose	TRUE
31.633854	1219.6472	sucrose	TRUE
38.88421	729.0378	sucrose	TRUE
44.43684	522.49225	sucrose	TRUE
49.57122	410.00137	sucrose	TRUE
55.12797	302.85162	sucrose	TRUE
60.25823	230.57945	sucrose	TRUE
65.81704	172.91098	sucrose	TRUE
71.806465	129.65616	sucrose	TRUE
76.0755	98.72943	sucrose	TRUE
16.220411	99.72585	water	TRUE
18.855593	145.39648	water	TRUE
18.915342	225.27753	water	TRUE
20.246326	300.064	water	TRUE
22.883568	444.1375	water	TRUE
26.390276	698.2127	water	TRUE
33.739525	861.50476	water	TRUE
43.206814	822.04443	water	TRUE
48.792408	750.1414	water	TRUE
58.663525	588.17084	water	TRUE
65.100044	497.62445	water	TRUE
77.111855	356.25497	water	TRUE
87.40946	271.00366	water	TRUE
93.84392	225.84787	water	TRUE
101.56815	185.35544	water	TRUE
112.29225	136.796	water	TRUE
120.01854	113.97777	water	TRUE

