study	status	sex	weight	weightMin	weightMax	liverWeight	liverWeightPlusSd	liverWeightSd
del1968	healthy	M	45	42.5	47.5	1.3336257	1.5563247	0.222699
del1968	healthy	M	50	47.5	52.5	1.3323414	1.5453306	0.2129892
del1968	healthy	M	55	52.5	57.5	1.4797112	1.8607739	0.3810627
del1968	healthy	M	60	57.5	62.5	1.4932736	1.8745244	0.3812508
del1968	healthy	M	65	62.5	67.5	1.6009585	1.8979844	0.2970259
del1968	healthy	M	70	67.5	72.5	1.6395471	1.8870844	0.2475373
del1968	healthy	M	75	72.5	77.5	1.8609619	2.227272	0.3663101
del1968	healthy	M	80	77.5	82.5	1.7804018	2.0428798	0.262478
del1968	healthy	M	85	82.5	87.5	1.764459	2.1257262	0.3612672
del1968	healthy	M	90	87.5	92.5	1.8226552	1.9512317	0.1285765
del1968	healthy	M	95	92.5	97.5	2.0093338	2.489468	0.4801342
del1968	healthy	M	100	97.5	102.5	2.1268225	2.6120934	0.4852709
del1968	healthy	F	45	42.5	47.5	1.2752728	1.5029207	0.2276479
del1968	healthy	F	50	47.5	52.5	1.3384179	1.6008958	0.2624779
del1968	healthy	F	55	52.5	57.5	1.3374156	1.5155748	0.1781592
del1968	healthy	F	60	57.5	62.5	1.4798365	1.687689	0.2078525
del1968	healthy	F	65	62.5	67.5	1.527947	1.864564	0.336617
del1968	healthy	F	70	67.5	72.5	1.4625155	1.7446009	0.2820854
del1968	healthy	F	75	72.5	77.5	1.6889731	2.0106494	0.3216763
del1968	healthy	F	80	77.5	82.5	1.64791	2.0441952	0.3962852
del1968	healthy	F	85	82.5	87.5	1.7656806	2.052621	0.2869404
del1968	healthy	F	90	87.5	92.5	1.4968756	1.9126744	0.4157988
del1968	healthy	F	95	92.5	97.5	1.8965436	2.401516	0.5049724
del1968	healthy	F	100	97.5	102.5	1.6973987	1.9150549	0.2176562

