study	status	sex	BSA	BSAMin	BSAMax	liverWeight	liverWeightPlusSd	liverWeightSd
del1968	healthy	M	1.52	1.5	1.54	1.3446841	1.5523815	0.2076974
del1968	healthy	M	1.57	1.55	1.59	1.4026513	1.800161	0.3975097
del1968	healthy	M	1.62	1.6	1.64	1.4358873	1.6256226	0.1897353
del1968	healthy	M	1.67	1.65	1.69	1.4007752	1.6190497	0.2182745
del1968	healthy	M	1.72	1.7	1.74	1.5302825	1.8738291	0.3435466
del1968	healthy	M	1.77	1.75	1.79	1.6241736	1.7173299	0.0931563
del1968	healthy	M	1.82	1.8	1.84	1.6035236	1.9255313	0.3220077
del1968	healthy	M	1.87	1.85	1.89	1.6793758	1.9370743	0.2576985
del1968	healthy	M	1.92	1.9	1.94	1.7158039	2.0129263	0.2971224
del1968	healthy	M	1.97	1.95	1.99	1.7419629	2.0890865	0.3471236
del1968	healthy	F	1.52	1.5	1.54	1.3812242	1.5424205	0.1611963
del1968	healthy	F	1.57	1.55	1.59	1.3573052	1.6113497	0.2540445
del1968	healthy	F	1.62	1.6	1.64	1.3973103	1.6085076	0.2111973
del1968	healthy	F	1.67	1.65	1.69	1.4554313	1.6487437	0.1933124
del1968	healthy	F	1.72	1.7	1.74	1.5992466	1.8390601	0.2398135
del1968	healthy	F	1.77	1.75	1.79	1.6572907	2.0223763	0.3650856
del1968	healthy	F	1.82	1.8	1.84	1.5220225	1.8800311	0.3580086
del1968	healthy	F	1.87	1.85	1.89	1.6122596	2.0202694	0.4080098
del1968	healthy	F	1.92	1.9	1.94	NA	NA	NA
del1968	healthy	F	1.97	1.95	1.99	1.782311	2.0185473	0.2362363

