study	status	sex	BSA	BSAMin	BSAMax	liverWeight	liverWeightPlusSd	liverWeightSd	dtype	gender	volLiver	volLiverSd	n	BSARange
del1968	healthy	M	1.52	1.5	1.54	1.3446841	1.5523815	0.2076974	population	male	1245.07787037037	192.312407407407	10	0.02
del1968	healthy	M	1.57	1.55	1.59	1.4026513	1.800161	0.3975097	population	male	1298.7512037037	368.064537037037	10	0.02
del1968	healthy	M	1.62	1.6	1.64	1.4358873	1.6256226	0.1897353	population	male	1329.52527777778	175.680833333333	10	0.0199999999999999
del1968	healthy	M	1.67	1.65	1.69	1.4007752	1.6190497	0.2182745	population	male	1297.01407407407	202.106018518519	10	0.02
del1968	healthy	M	1.72	1.7	1.74	1.5302825	1.8738291	0.3435466	population	male	1416.92824074074	318.098703703704	10	0.02
del1968	healthy	M	1.77	1.75	1.79	1.6241736	1.7173299	0.0931563	population	male	1503.86444444444	86.2558333333333	10	0.02
del1968	healthy	M	1.82	1.8	1.84	1.6035236	1.9255313	0.3220077	population	male	1484.74407407407	298.155277777778	10	0.02
del1968	healthy	M	1.87	1.85	1.89	1.6793758	1.9370743	0.2576985	population	male	1554.97759259259	238.609722222222	10	0.0199999999999999
del1968	healthy	M	1.92	1.9	1.94	1.7158039	2.0129263	0.2971224	population	male	1588.70731481481	275.113333333333	10	0.02
del1968	healthy	M	1.97	1.95	1.99	1.7419629	2.0890865	0.3471236	population	male	1612.92861111111	321.410740740741	10	0.02
del1968	healthy	F	1.52	1.5	1.54	1.3812242	1.5424205	0.1611963	population	female	1278.9112962963	149.255833333333	10	0.02
del1968	healthy	F	1.57	1.55	1.59	1.3573052	1.6113497	0.2540445	population	female	1256.76407407407	235.226388888889	10	0.02
del1968	healthy	F	1.62	1.6	1.64	1.3973103	1.6085076	0.2111973	population	female	1293.80583333333	195.553055555556	10	0.0199999999999999
del1968	healthy	F	1.67	1.65	1.69	1.4554313	1.6487437	0.1933124	population	female	1347.62157407407	178.992962962963	10	0.02
del1968	healthy	F	1.72	1.7	1.74	1.5992466	1.8390601	0.2398135	population	female	1480.78388888889	222.049537037037	10	0.02
del1968	healthy	F	1.77	1.75	1.79	1.6572907	2.0223763	0.3650856	population	female	1534.52842592593	338.042222222222	10	0.02
del1968	healthy	F	1.82	1.8	1.84	1.5220225	1.8800311	0.3580086	population	female	1409.28009259259	331.489444444444	10	0.02
del1968	healthy	F	1.87	1.85	1.89	1.6122596	2.0202694	0.4080098	population	female	1492.83296296296	377.786851851852	10	0.0199999999999999
del1968	healthy	F	1.97	1.95	1.99	1.782311	2.0185473	0.2362363	population	female	1650.28796296296	218.737314814815	10	0.02
