FlowPPS001_rbcM	FlowS001PV_rbcM	FlowPVNULL_rbcM	FlowPPS001_suc	FlowS001PV_suc	FlowPVNULL_suc	FlowPPS001_alb	FlowS001PV_alb	FlowPVNULL_alb	FlowPPS001_gal	FlowS001PV_gal	FlowPVNULL_gal	FlowPPS001_galM	FlowS001PV_galM	FlowPVNULL_galM	FlowPPS001_h2oM	FlowS001PV_h2oM	FlowPVNULL_h2oM	DiffPPS001_rbcM	DiffS001PV_rbcM	DiffS001D001_rbcM	DiffPPS001_suc	DiffS001PV_suc	DiffS001D001_suc	DiffPPS001_alb	DiffS001PV_alb	DiffS001D001_alb	DiffPPS001_gal	DiffS001PV_gal	DiffS001D001_gal	DiffPPS001_galM	DiffS001PV_galM	DiffS001D001_galM	DiffPPS001_h2oM	DiffS001PV_h2oM	DiffS001D001_h2oM	H01__GALK	H01__GALKM	H01__IMP	H01__ATPS	H01__ALDR	H01__NADPR	H01__GALT	H01__GALE	H01__UGP	H01__UGALP	H01__PPASE	H01__NDKU	H01__PGM1	H01__GLY	H01__GTFGAL	H01__GTFGLC	D001__GLUT2_GAL	D001__GLUT2_GALM	D001__H2OTM	PP__rbcM	S001__rbcM	D001__rbcM	PV__rbcM	PP__suc	S001__suc	D001__suc	PV__suc	PP__alb	S001__alb	D001__alb	PV__alb	PP__gal	S001__gal	D001__gal	PV__gal	PP__galM	S001__galM	D001__galM	PV__galM	PP__h2oM	S001__h2oM	D001__h2oM	PV__h2oM	H01__gal	H01__galM	H01__h2oM	H01__glc1p	H01__glc6p	H01__gal1p	H01__udpglc	H01__udpgal	H01__galtol	H01__atp	H01__adp	H01__utp	H01__udp	H01__phos	H01__ppi	H01__nadp	H01__nadph	
0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	4.379128831691884E-19	4.379128831691884E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.658286041350115E-19	0.0	1.2393162393162393E-18	1.7504488330341107E-13	-9.424824069950695E-15	0.0	-2.9066504921234104E-17	4.0096523140686423E-17	-4.9476895839012616E-14	-1.0229563843025772E-17	1.4839284393632802E-16	-3.346500652311191E-13	0.0	0.0	9.114285714285714E-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	1.2E-4	1.2E-4	1.2E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	0.0	0.0	0.012	0.12	0.001	0.34	0.11	0.001	2.7	1.2	0.27	0.09	5.0	0.008	0.1	0.1	
1.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.934581553251461E-19	4.785486725353459E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.740603628746102E-21	4.198793103864004E-21	-3.3982100107299886E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.8231376122484343E-18	0.0	1.4970741563642805E-18	3.7291514915584245E-16	-5.236963468702241E-19	-8.390374693289664E-22	-2.7024932014269512E-17	3.019841562149135E-17	1.2043477176193682E-17	-4.528332637644128E-18	1.2622387788799923E-17	9.61632899719795E-17	-2.145954170566809E-17	1.4512031151063013E-16	9.09010443697012E-17	0.0	-3.3005965559940246E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.174290419362498E-4	2.174782093836018E-4	1.311353077549329E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1748103140801342E-4	0.0	0.0	0.012038476684342493	0.12041689507206009	0.0012087022335726888	0.3364599567626999	0.10938891310994724	8.721796942536497E-4	2.874320930875826	1.0256790691241675	0.2683760681843222	0.09577506194303083	4.833998500505517	0.0043202132221825855	0.0998721847412254	0.10012781525877461	
2.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.908255052735446E-19	5.144450722888604E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.705501628058082E-21	3.685072439795791E-21	-3.4203101119789853E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.8100387808232727E-18	0.0	1.6318464960002632E-18	6.667011660001296E-17	-4.0906315156936824E-19	-8.576977847543375E-22	-1.2851751087889028E-17	3.8324244693947095E-17	1.69252308910902E-17	-4.301621948351276E-18	1.2513068911439031E-17	6.973752220115076E-17	-2.7283788021408442E-17	-3.7368212536886774E-18	9.072087414026902E-17	0.0	-3.344174085054156E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.1670762446182915E-4	2.167571116673954E-4	1.409718942907017E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1675997095073568E-4	0.0	0.0	0.011994846236594617	0.11998926500544653	0.0013179239613757654	0.3364247720246671	0.10893591065433653	8.693311711418711E-4	2.8745807798093495	1.0254192201906456	0.2687616083820524	0.09587770893894375	4.8337339195632	0.004310828520995036	0.09986934141048777	0.10013065858951224	
3.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.888186664257004E-19	5.459669602063729E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.678743776753492E-21	3.2380227495910328E-21	-3.4458759532546026E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.798775202374873E-18	0.0	1.759011353822039E-18	6.190501989315911E-17	-3.0227140036574155E-19	-8.719183804235117E-22	-1.2246924214137725E-17	4.5265383136367004E-17	1.7632850595278316E-17	-4.108189798415061E-18	1.2559375625757808E-17	6.943287069039363E-17	-2.9529720973602075E-17	-2.6122488073507035E-17	9.056085655227676E-17	0.0	-3.389646418718549E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.1615769622039793E-4	2.1620755332869265E-4	1.4960974600843727E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.162104514910381E-4	0.0	0.0	0.011988080224071327	0.11992495612592169	0.001421042768279042	0.33635160878023695	0.1085352183762714	8.671590211436708E-4	2.874532798020365	1.025467201979629	0.2691063982504377	0.09600677459305365	4.833397102026937	0.004314811291994858	0.09986717455328367	0.10013282544671634	
4.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.8739612714458415E-19	5.736843995511306E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.659776586338609E-21	2.849489701246046E-21	-3.474634941294045E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.7892516102120533E-18	0.0	1.8793267247727807E-18	6.127671636059224E-17	-2.0247744768733432E-19	-8.819931107938273E-22	-1.1688996076937646E-17	5.1144524286545276E-17	1.7729788410821712E-17	-3.930393835915723E-18	1.2636652719362434E-17	6.934707846353955E-17	-2.9398317997824265E-17	-2.9095078707793507E-17	9.041819034942271E-17	0.0	-3.4370529702602766E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.1576788189820088E-4	2.1581815510968695E-4	1.5720507569433255E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.158210938048122E-4	0.0	0.0	0.011987245984110174	0.11991641629649305	0.0015186630291657674	0.336237667309591	0.10817926858418793	8.656185107112653E-4	2.874473520607883	1.0255264793921184	0.2694471837462994	0.09613588035992056	4.833014103690332	0.004321433322859922	0.09986563940981735	0.10013436059018266	
5.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.865195947979372E-19	5.980976281584006E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.648089488383316E-21	2.5122928885271544E-21	-3.506358523984845E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.7813542374593195E-18	0.0	1.9932683844074204E-18	6.123675797016673E-17	-1.092017079945826E-19	-8.881932141122397E-22	-1.1166759886818905E-17	5.610822776475218E-17	1.773650666271537E-17	-3.764411114485939E-18	1.272340748262496E-17	6.929746792637954E-17	-2.8931536775152387E-17	-2.909375731548058E-17	9.029045116805777E-17	0.0	-3.4862362215543473E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.1552768827604385E-4	2.155784204843479E-4	1.6389496207463468E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1558140123134858E-4	0.0	0.0	0.011987316125770659	0.1199164198271881	0.001611161867945138	0.3360875612530077	0.10786159097491678	8.646683449792516E-4	2.874413167696119	1.0255868323038775	0.2697862986681512	0.09626454910392325	4.832627972963054	0.004328831425888307	0.0998646946607001	0.10013530533929992	
6.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.86153330381917E-19	6.196453760200957E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.643205962836379E-21	2.2201060581576173E-21	-3.540823599172215E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.774977746561402E-18	0.0	2.1012402382823688E-18	6.129070202346716E-17	-2.202788854842194E-20	-8.907720831503717E-22	-1.0676313568756076E-17	6.028896010845353E-17	1.7733820072351222E-17	-3.6088353826557725E-18	1.2815730774561728E-17	6.925977100467148E-17	-2.844377179771197E-17	-2.866359581128268E-17	9.017553973734559E-17	0.0	-3.537004160641612E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.1542732189813702E-4	2.154785527689029E-4	1.697996290592879E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1548157692270333E-4	0.0	0.0	0.011987512588672285	0.11991765533044546	0.0016988592986582757	0.3359064495958557	0.10757664225309747	8.642699419917167E-4	2.8743532456445897	1.0256467543554033	0.2701241688680441	0.09639273928300104	4.832245232360401	0.004336662954591839	0.09986430170105572	0.1001356982989443	
7.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.862638835991744E-19	6.387121832449708E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.644680005733145E-21	1.9673560047227143E-21	-3.577817046863669E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.7700238780433556E-18	0.0	2.2036096504053145E-18	6.136131653953876E-17	5.942550248101201E-20	-8.899670953228212E-22	-1.0215082790308225E-17	6.380115495774757E-17	1.773422227253127E-17	-3.4627280504468343E-18	1.2912531297690509E-17	6.922933174533863E-17	-2.798173221455423E-17	-2.8196899862755876E-17	9.007164016024905E-17	0.0	-3.5892349919998527E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.1545761647630718E-4	2.1550938259162417E-4	1.7502445106138697E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.155124514030127E-4	0.0	0.0	0.011987715701502361	0.11991899580059381	0.001782046696412754	0.33569894165735986	0.10731967160114622	8.643871548191838E-4	2.874293959509972	1.0257060404900369	0.2704609184148615	0.09652046832663226	4.831866705945105	0.004344828965775143	0.09986442436253525	0.10013557563746477	
8.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.868199095292171E-19	6.55634855650269E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.6520936848003806E-21	1.749134051719306E-21	-3.6171410970170854E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.7664007851541966E-18	0.0	2.3007153469313657E-18	6.143606664893491E-17	1.3551145221975237E-19	-8.86000868576613E-22	-9.780878670747164E-18	6.674292525394996E-17	1.7739585183266326E-17	-3.3253034213812707E-18	1.301322563684402E-17	6.920465277917724E-17	-2.755079158472306E-17	-2.775252819214289E-17	8.99771834671631E-17	0.0	-3.6427920793238126E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.1560998265270794E-4	2.156623177332035E-4	1.796617220042727E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.156654323361437E-4	0.0	0.0	0.011987907753690782	0.11992027214828516	0.001860993072987432	0.33546901776173077	0.10708660716223331	8.649860810330202E-4	2.874235314547856	1.0257646854521576	0.2707966156430283	0.09664775943300542	4.83149234707181	0.0043532748811639845	0.09986502872269698	0.10013497127730303	
9.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.379128831691884E-19	7.8779201122475E-19	6.707081619105824E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.66505504074082E-21	1.5611179908555682E-21	-3.6586107415180967E-19	0.0	0.0	0.0	0.0	0.0	0.0	1.76402251814302E-18	0.0	2.3928708105683472E-18	6.15125365961602E-17	2.065576788132984E-19	-8.790823397917299E-22	-9.37173376943312E-18	6.91982963812201E-17	1.775011668960611E-17	-3.1958690397538493E-18	1.3117367900614827E-17	6.918483314002478E-17	-2.715006204913664E-17	-2.7337813942360918E-17	8.98908155219271E-17	0.0	-3.6975549670627096E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	2.158763648669505E-4	2.1592929995643793E-4	1.8379221649474596E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.159324613819031E-4	0.0	0.0	0.011988086771334146	0.119921463305869	0.0019359477160446694	0.3352200944038133	0.10687395922303995	8.660348991045781E-4	2.8741772867447417	1.025822713255273	0.27113131259168505	0.09677463378145955	4.831121985682367	0.004361958593971896	0.09986608294131871	0.1001339170586813	
