pattern	sbml_type	annotation_type	value	qualifier	collection	name
########################################################################################################
# Annotations of the Hepatic Glucose Model (Koenig2012)
########################################################################################################


#model
	document	RDF	SBO:0000293	BQM_IS	biomodels.sbo	non-spatial continuous framework
_glucose	model	RDF	9606	BQB_HAS_TAXON	taxonomy	Homo sapiens (Human)
_glucose	model	RDF	BTO:0000759	BQB_IS	bto	liver
_glucose	model	RDF	UBERON:2107	BQB_IS	uberon	liver
_glucose	model	RDF	FMA:7197	BQB_IS	fma	liver
_glucose	model	RDF	BTO:0000575	BQB_IS	bto	hepatocyte
_glucose	model	RDF	FMA:14515	BQB_IS	fma	hepatocyte
_glucose	model	RDF	PW:0000685	BQB_IS_VERSION_OF	pw	glucose biosynthesis pathway
_glucose	model	RDF	map00010	BQB_IS_VERSION_OF	kegg.pathway	Glycolysis / Gluconeogenesis
_glucose	model	RDF	GO:0006006	BQB_IS_VERSION_OF	go	glucose metabolic process
_glucose	model	RDF	REACTOME:R-HSA-70326.5	BQB_IS_VERSION_OF	reactome	glucose metabolism

# compartment
cyto	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
cyto	compartment	RDF	GO:0005829	BQB_IS	go	cytosol
cyto	compartment	RDF	FMA:66836	BQB_IS	fma	portion of cytosol

pm	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
pm	compartment	RDF	GO:0005886	BQB_IS	go	plasma membrane
pm	compartment	RDF	FMA:63841	BQB_IS	fma	plasma membrane

ext	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
ext	compartment	RDF	GO:0005615	BQB_IS	go	extracellular space
ext	compartment	RDF	FMA:70022	BQB_IS	fma	extracellular space


mito	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
mito	compartment	RDF	GO:0005739	BQB_IS	go	Mitochondrion
mito	compartment	RDF	FMA:63835	BQB_IS	fma	Mitochondrion

mm	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
mm	compartment	RDF	GO:0031966	BQB_IS	go	mitochondrial membrane
mm	compartment	RDF	FMA:66861	BQB_IS	fma	membrane of mitochondrion

# parameters
^\w+_kcat$	parameter	RDF	SBO:0000025	BQB_IS	biomodels.sbo	catalytic rate constant
^\w+_k_\w+$	parameter	RDF	SBO:0000027	BQB_IS	biomodels.sbo	Michaelis constant
^\w+_keq$	parameter	RDF	SBO:0000281	BQB_IS	biomodels.sbo	equilibrium constant
^\w+_ki_\w+$	parameter	RDF	SBO:0000261	BQB_IS	biomodels.sbo	inhibitory constant
^\w+_Vmax$	parameter	RDF	SBO:0000186	BQB_IS	biomodels.sbo	maximal velocity

^epi$	parameter	RDF	CHEBI:18357	BQB_IS	chebi
^epi$	parameter	RDF	C00547	BQB_IS	kegg.compound

^ins$	parameter	RDF	C00723	BQB_IS	kegg.compound
^ins$	parameter	RDF	P01308	BQB_IS	uniprot

^glu$	parameter	RDF	C01501	BQB_IS	kegg.compound
^glu$	parameter	RDF	P01275	BQB_IS	uniprot
# reactions
^GLUT2$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
^GLUT2$	reaction	RDF	P11168	BQB_IS	uniprot

^LACT$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction

^PYRTM$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction

^PEPTM$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction

^GK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GK$	reaction	RDF	2.7.1.2	BQB_IS	ec-code
^GK$	reaction	RDF	R00299	BQB_IS	kegg.reaction
^GK$	reaction	RDF	17828	BQB_IS	rhea
^GK$	reaction	RDF	P35557	BQB_IS	uniprot

^G6PASE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^G6PASE$	reaction	RDF	3.1.3.9	BQB_IS	ec-code
^G6PASE$	reaction	RDF	16692	BQB_IS	rhea
^G6PASE$	reaction	RDF	R00303	BQB_IS	kegg.reaction
^G6PASE$	reaction	RDF	P35575	BQB_IS	uniprot

^GPI$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GPI$	reaction	RDF	5.3.1.9	BQB_IS	ec-code
^GPI$	reaction	RDF	11819	BQB_IS	rhea
^GPI$	reaction	RDF	R00771	BQB_IS	kegg.reaction
^GPI$	reaction	RDF	P06744	BQB_IS	uniprot

^G16PI$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^G16PI$	reaction	RDF	5.4.2.2	BQB_IS	ec-code
^G16PI$	reaction	RDF	23539	BQB_IS	rhea
^G16PI$	reaction	RDF	R00959	BQB_IS	kegg.reaction
^G16PI$	reaction	RDF	P36871	BQB_IS	uniprot
^G16PI$	reaction	RDF	Q96G03	BQB_IS	uniprot

^UPGASE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^UPGASE$	reaction	RDF	2.7.7.9	BQB_IS	ec-code
^UPGASE$	reaction	RDF	19892	BQB_IS	rhea
^UPGASE$	reaction	RDF	R00289	BQB_IS	kegg.reaction
^UPGASE$	reaction	RDF	Q16851	BQB_IS	uniprot

^PPASE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PPASE$	reaction	RDF	3.6.1.1	BQB_IS	ec-code
^PPASE$	reaction	RDF	24579	BQB_IS	rhea
^PPASE$	reaction	RDF	R00004	BQB_IS	kegg.reaction
^PPASE$	reaction	RDF	Q15181	BQB_IS	uniprot

^GS$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GS$	reaction	RDF	R00292	BQB_IS_VERSION_OF	kegg.reaction
^GS$	reaction	RDF	18552	BQB_IS_VERSION_OF	rhea
^GS$	reaction	RDF	P54840	BQB_IS	uniprot

^GP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GP$	reaction	RDF	41732	BQB_IS_VERSION_OF	rhea
^GP$	reaction	RDF	R01821	BQB_IS_VERSION_OF	kegg.reaction
^GP$	reaction	RDF	P06737	BQB_IS	uniprot

^NDKGTP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^NDKGTP$	reaction	RDF	2.7.4.6	BQB_IS	ec-code
^NDKGTP$	reaction	RDF	27689	BQB_IS	rhea
^NDKGTP$	reaction	RDF	R00330	BQB_IS	kegg.reaction

^NDKUTP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^NDKUTP$	reaction	RDF	2.7.4.6	BQB_IS	ec-code
^NDKUTP$	reaction	RDF	25101	BQB_IS	rhea
^NDKUTP$	reaction	RDF	R00156	BQB_IS	kegg.reaction

^AK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^AK$	reaction	RDF	2.7.4.3	BQB_IS	ec-code
^AK$	reaction	RDF	12976	BQB_IS	rhea
^AK$	reaction	RDF	R00127	BQB_IS	kegg.reaction

^PFK2$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PFK2$	reaction	RDF	2.7.1.105	BQB_IS	ec-code
^PFK2$	reaction	RDF	15654	BQB_IS	rhea
^PFK2$	reaction	RDF	R02732	BQB_IS	kegg.reaction
^PFK2$	reaction	RDF	P16118	BQB_IS	uniprot

^FBP2$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^FBP2$	reaction	RDF	3.1.3.46	BQB_IS	ec-code
^FBP2$	reaction	RDF	17290	BQB_IS	rhea
^FBP2$	reaction	RDF	R00763	BQB_IS	kegg.reaction
^FBP2$	reaction	RDF	P16118	BQB_IS	uniprot

^PFK1$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PFK1$	reaction	RDF	2.7.1.11	BQB_IS	ec-code
^PFK1$	reaction	RDF	16110	BQB_IS	rhea
^PFK1$	reaction	RDF	R00756	BQB_IS	kegg.reaction
^PFK1$	reaction	RDF	P17858	BQB_IS	uniprot

^FBP1$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^FBP1$	reaction	RDF	3.1.3.11	BQB_IS	ec-code
^FBP1$	reaction	RDF	11065	BQB_IS	rhea
^FBP1$	reaction	RDF	R00762	BQB_IS	kegg.reaction
^FBP1$	reaction	RDF	O00757	BQB_IS	uniprot
^FBP1$	reaction	RDF	P09467	BQB_IS	uniprot

^ALD$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^ALD$	reaction	RDF	4.1.2.13	BQB_IS	ec-code
^ALD$	reaction	RDF	14732	BQB_IS	rhea
^ALD$	reaction	RDF	R01068	BQB_IS	kegg.reaction
^ALD$	reaction	RDF	P05062	BQB_IS	uniprot

^TPI$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^TPI$	reaction	RDF	5.3.1.1	BQB_IS	ec-code
^TPI$	reaction	RDF	18588	BQB_IS	rhea
^TPI$	reaction	RDF	R01015	BQB_IS	kegg.reaction
^TPI$	reaction	RDF	P60174	BQB_IS	uniprot

^GAPDH$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GAPDH$	reaction	RDF	1.2.1.12	BQB_IS	ec-code
^GAPDH$	reaction	RDF	10303	BQB_IS	rhea
^GAPDH$	reaction	RDF	R01061	BQB_IS	kegg.reaction
^GAPDH$	reaction	RDF	P04406	BQB_IS	uniprot

^PGK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PGK$	reaction	RDF	2.7.2.3	BQB_IS	ec-code
^PGK$	reaction	RDF	14804	BQB_IS_VERSION_OF	rhea
^PGK$	reaction	RDF	R01512	BQB_IS	kegg.reaction
^PGK$	reaction	RDF	P00558	BQB_IS	kegg.reaction

^PGM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PGM$	reaction	RDF	5.4.2.1	BQB_IS	ec-code
^PGM$	reaction	RDF	15904	BQB_IS_VERSION_OF	rhea
^PGM$	reaction	RDF	R01518	BQB_IS	kegg.reaction
^PGM$	reaction	RDF	P18669	BQB_IS	uniprot

^EN$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^EN$	reaction	RDF	4.2.1.11	BQB_IS	ec-code
^EN$	reaction	RDF	10167	BQB_IS	rhea
^EN$	reaction	RDF	R00658	BQB_IS	kegg.reaction
^EN$	reaction	RDF	P06733	BQB_IS	uniprot
^EN$	reaction	RDF	P09104	BQB_IS	uniprot
^EN$	reaction	RDF	P13929	BQB_IS	uniprot

^PK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PK$	reaction	RDF	2.7.1.40	BQB_IS	ec-code
^PK$	reaction	RDF	18159	BQB_IS	rhea
^PK$	reaction	RDF	R00200	BQB_IS	kegg.reaction
^PK$	reaction	RDF	P30613	BQB_IS	uniprot

^PEPCK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PEPCK$	reaction	RDF	4.1.1.32	BQB_IS	ec-code
^PEPCK$	reaction	RDF	10391	BQB_IS	rhea
^PEPCK$	reaction	RDF	R00431	BQB_IS	kegg.reaction
^PEPCK$	reaction	RDF	P35558	BQB_IS	uniprot

^PEPCKM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
