y	x	sex	link	mu.formula	sigma.formula	df	N	data
GEC	age	A	NO	cs(age, 2)	cs(age, 1)	7.0	99	duc1979(13), duf1992(5), mar1988(50), sch1986(13), tyg1963(18)
GEC	age	M					10	
GEC	age	F					8	
GECkg	age	A	NO	cs(age, 4)	age	8.0	140	duc1979(13), duf1992(5), lan2011(10), sch1986(94), tyg1963(18)
GECkg	age	M					4	
GECkg	age	F					1	
volLiver	age	A	BCCG	cs(age, 4)	age	11.5	1051	boy1933(306), hei1999(609), mar1988(50), naw1998(21), wyn1989(65)
volLiver	age	M	BCCG	cs(age, 4)	age	10.1	717	boy1933(229), hei1999(441), mar1988(0), naw1998(14), wyn1989(33)
volLiver	age	F	BCCG	cs(age, 4)	1	8.0	284	boy1933(77), hei1999(168), mar1988(0), naw1998(7), wyn1989(32)
volLiverkg	age	A	BCCG	cs(age, 1)	1	14.2	783	hei1999(609), naw1998(21), ura1995(88), wyn1989(65)
volLiverkg	age	M	BCCG	cs(age, 1)	1	12.7	488	hei1999(441), naw1998(14), ura1995(0), wyn1989(33)
volLiverkg	age	F	BCCG	cs(age, 1)	1	6.9	207	hei1999(168), naw1998(7), ura1995(0), wyn1989(32)
volLiver	bodyweight	A	BCCG	cs(bodyweight, 2)	bodyweight	7.0	967	hei1999(609), naw1998(21), vau2002(272), wyn1989(65)
volLiver	bodyweight	M	BCCG	cs(bodyweight, 2)	bodyweight	7.0	488	hei1999(441), naw1998(14), vau2002(0), wyn1989(33)
volLiver	bodyweight	F	BCCG	cs(bodyweight, 2)	cs(bodyweight, 1)	8.0	207	hei1999(168), naw1998(7), vau2002(0), wyn1989(32)
volLiverkg	bodyweight	A	BCCG	cs(bodyweight, 2)	bodyweight	8.1	967	hei1999(609), naw1998(21), vau2002(272), wyn1989(65)
volLiverkg	bodyweight	M	BCCG	cs(bodyweight, 2)	bodyweight	7.0	488	hei1999(441), naw1998(14), vau2002(0), wyn1989(33)
volLiverkg	bodyweight	F	BCCG	cs(bodyweight, 2)	bodyweight	7.0	207	hei1999(168), naw1998(7), vau2002(0), wyn1989(32)
volLiver	height	A	BCCG	cs(height, 5)	height	10.0	630	hei1999(609), naw1998(21)
volLiver	height	M	BCCG	cs(height, 5)	height	10.0	455	hei1999(441), naw1998(14)
volLiver	height	F	BCCG	cs(height, 4)	height	9.0	175	hei1999(168), naw1998(7)
volLiverkg	height	A	BCCG	cs(height, 2)	1	6.0	630	hei1999(609), naw1998(21)
volLiverkg	height	M	BCCG	cs(height, 2)	1	6.0	455	hei1999(441), naw1998(14)
volLiverkg	height	F	BCCG	cs(height, 2)	1	6.0	175	hei1999(168), naw1998(7)
volLiver	BSA	A	BCCG	cs(BSA, 3)	cs(BSA, 1)	9.6	1917	hei1999(609), naw1998(21), ura1995(85), vau2002(285), yos2002(917)
volLiver	BSA	M	BCCG	cs(BSA, 3)	cs(BSA, 1)	9.0	455	hei1999(441), naw1998(14), ura1995(0), vau2002(0), yos2002(0)
volLiver	BSA	F	BCCG	cs(BSA, 3)	cs(BSA, 1)	9.0	175	hei1999(168), naw1998(7), ura1995(0), vau2002(0), yos2002(0)
volLiverkg	BSA	A	BCCG	cs(BSA, 2)	1	6.0	630	hei1999(609), naw1998(21)
volLiverkg	BSA	M	BCCG	cs(BSA, 2)	1	6.0	455	hei1999(441), naw1998(14)
volLiverkg	BSA	F	BCCG	cs(BSA, 2)	1	6.0	175	hei1999(168), naw1998(7)
flowLiver	volLiver	A	NO	volLiver	cs(volLiver, 1)	5.0	65	wyn1989(65)
flowLiver	volLiver	M	NO	volLiver	volLiver	4.0	33	wyn1989(33)
flowLiver	volLiver	F	NO	volLiver	cs(volLiver, 1)	5.0	32	wyn1989(32)
flowLiverkg	volLiverkg	A	NO	volLiverkg	cs(volLiverkg, 1)	5.0	65	wyn1989(65)
flowLiverkg	volLiverkg	M	NO	volLiverkg	volLiverkg	4.0	33	wyn1989(33)
flowLiverkg	volLiverkg	F	NO	volLiverkg	volLiverkg	4.0	32	wyn1989(32)
perfusion	age	A	NO	age	1	3.0	65	wyn1989(65)
perfusion	age	M	NO	age	1	3.0	33	wyn1989(33)
perfusion	age	F	NO	age	1	3.0	32	wyn1989(32)
