study	status	sex	height	heightMin	heightMax	liverWeight	liverWeightPlusSd	liverWeightSd	volLiver	volLiverSd	n	heightRange	dtype
del1968	healthy	male	162	160	164	1.3574145	1.6829145	0.3255	1085.9316	260.4	10	2	population
del1968	healthy	male	167	165	169	1.4902987	1.7072988	0.2170001	1192.23896	173.60008	10	2	population
del1968	healthy	male	172	170	174	1.5236537	1.8358037	0.31215	1218.92296	249.72	10	2	population
del1968	healthy	male	177	175	179	1.6474963	2.0003338	0.3528375	1317.99704	282.27	10	2	population
del1968	healthy	male	182	180	184	1.7082596	1.9704679	0.2622083	1366.60768	209.76664	10	2	population
del1968	healthy	male	187	185	189	1.9225187	2.5331147	0.610596	1538.01496	488.4768	10	2	population
del1968	healthy	female	162	160	164	1.4716389	1.892218	0.4205791	1177.31112	336.46328	10	2	population
del1968	healthy	female	167	165	169	1.5232897	1.7357689	0.2124792	1218.63176	169.98336	10	2	population
del1968	healthy	female	172	170	174	1.5023947	1.8550906	0.3526959	1201.91576	282.15672	10	2	population
del1968	healthy	female	177	175	179	1.5403414	1.8748832	0.3345418	1232.27312	267.63344	10	2	population
del1968	healthy	female	182	180	184	1.5059547	1.7457713	0.2398166	1204.76376	191.85328	10	2	population
del1968	healthy	female	187	185	189	1.4897223	1.7428181	0.2530958	1191.77784	202.47664	10	2	population
