study	status	sex	n	age	ageMin	ageMax	livWeight	livWeight95	livWeightSdBase	livWeightSd	dtype	gender	volLiver	volLiverSd	ageRange
kay1987	healthy	M	672	0	0	0	68.8	73.9	67.5	67.3	population	male	58.3050847457627	57.0338983050847	0
kay1987	healthy	M	131	0.04	0.01	0.08	140.1	155.2	88.2	87.4	population	male	118.728813559322	74.0677966101695	0.035
kay1987	healthy	M	105	0.12	0.08	0.16	148.4	175.6	142.2	140.6	population	male	125.762711864407	119.152542372881	0.04
kay1987	healthy	M	70	0.21	0.17	0.25	186.4	201.5	64.5	63.3	population	male	157.966101694915	53.6440677966102	0.04
kay1987	healthy	M	74	0.29	0.25	0.33	176.1	193.3	75.5	74.2	population	male	149.237288135593	62.8813559322034	0.04
kay1987	healthy	M	49	0.37	0.33	0.41	215.5	249.4	121.1	118	population	male	182.627118644068	100	0.04
kay1987	healthy	M	42	0.45	0.41	0.49	269.1	325.4	186.2	180.7	population	male	228.050847457627	153.135593220339	0.04
kay1987	healthy	M	46	1	1	1	293	329.6	126.6	123.2	population	male	248.305084745763	104.406779661017	0
kay1987	healthy	M	54	2	2	2	503.9	566.8	235.8	230.4	population	male	427.033898305085	195.254237288136	0
kay1987	healthy	M	52	3	3	3	599.1	659.3	221.5	216.2	population	male	507.71186440678	183.220338983051	0
kay1987	healthy	M	28	4	4	4	588.2	640.1	140.1	133.8	population	male	498.474576271186	113.389830508475	0
kay1987	healthy	M	44	5	5	5	652	699.9	162.1	157.6	population	male	552.542372881356	133.559322033898	0
kay1987	healthy	M	37	6	6	6	709.8	784.1	230.6	222.8	population	male	601.525423728814	188.813559322034	0
kay1987	healthy	M	34	7	7	7	752.6	832.9	238.9	230.1	population	male	637.796610169492	195	0
kay1987	healthy	M	30	8	8	8	847.1	968.9	340.4	326.2	population	male	717.881355932203	276.440677966102	0
kay1987	healthy	M	31	9	9	9	855.3	918.7	180.1	172.8	population	male	724.830508474576	146.440677966102	0
kay1987	healthy	M	28	10	10	10	956.9	1052.5	258.1	246.5	population	male	810.932203389831	208.898305084746	0
kay1987	healthy	M	17	11	11	11	1060.2	1237.2	372.3	344.3	population	male	898.474576271186	291.779661016949	0
kay1987	healthy	M	24	12	12	12	1075.2	1248.7	433.7	410.9	population	male	911.186440677966	348.220338983051	0
kay1987	healthy	M	21	13	13	13	1201.4	1340	324.1	304.5	population	male	1018.13559322034	258.050847457627	0
kay1987	healthy	M	28	14	14	14	1204.2	1313.2	294.3	281.1	population	male	1020.50847457627	238.220338983051	0
kay1987	healthy	M	30	15	15	15	1360.6	1474.5	318.3	305	population	male	1153.05084745763	258.474576271186	0
kay1987	healthy	M	40	16	16	16	1646.9	1787.4	453.4	439.3	population	male	1395.6779661017	372.28813559322	0
kay1987	healthy	M	56	17	17	17	1589	1692.2	394	385.4	population	male	1346.61016949153	326.610169491525	0
kay1987	healthy	M	56	18	18	18	1705.7	1801.6	366.1	358.1	population	male	1445.50847457627	303.474576271186	0
kay1987	healthy	M	69	19	19	19	1672.9	1782.8	465.8	457.5	population	male	1417.71186440678	387.71186440678	0
kay1987	healthy	M	486	25	20	30	1724.8	1758.5	379	378.1	population	male	1461.69491525424	320.423728813559	5
kay1987	healthy	M	463	35	30	40	1768.3	1804.5	397.4	396.4	population	male	1498.5593220339	335.932203389831	5
kay1987	healthy	M	657	45	40	50	1734.5	1763.3	376.6	375.9	population	male	1469.91525423729	318.559322033898	5
kay1987	healthy	M	856	55	50	60	1672.6	1697.8	376.2	375.6	population	male	1417.45762711864	318.305084745763	5
kay1987	healthy	M	939	65	60	70	1565.4	1586.5	329.9	329.5	population	male	1326.61016949153	279.237288135593	5
kay1987	healthy	M	580	75	70	80	1414.3	1439.7	312.1	311.5	population	male	1198.5593220339	263.983050847458	5
kay1987	healthy	M	168	85	80	90	1365.7	1418	345.9	343.4	population	male	1157.37288135593	291.016949152542	5
kay1987	healthy	M	14	95	90	100	1157.8	1307.4	285.6	259.1	population	male	981.186440677966	219.576271186441	5
kay1987	healthy	F	563	0	0	0	65.7	69.5	46	45.9	population	female	55.6779661016949	38.8983050847458	0
kay1987	healthy	F	67	0.04	0.01	0.08	118.6	132.6	58.5	57.4	population	female	100.508474576271	48.6440677966102	0.035
kay1987	healthy	F	55	0.12	0.08	0.16	139	151.2	46.2	45.1	population	female	117.796610169492	38.2203389830509	0.04
kay1987	healthy	F	48	0.21	0.17	0.25	155.6	174.9	68.2	66.5	population	female	131.864406779661	56.3559322033898	0.04
kay1987	healthy	F	44	0.29	0.25	0.33	183.3	221.4	128.9	125.3	population	female	155.338983050847	106.186440677966	0.04
kay1987	healthy	F	36	0.37	0.33	0.41	200.5	232.2	97	93.7	population	female	169.915254237288	79.406779661017	0.04
kay1987	healthy	F	34	0.45	0.41	0.49	220	252.5	96.7	93.1	population	female	186.440677966102	78.8983050847458	0.04
kay1987	healthy	F	42	1	1	1	283	313.5	100.8	97.9	population	female	239.830508474576	82.9661016949153	0
kay1987	healthy	F	28	2	2	2	413.7	523.7	297	283.7	population	female	350.593220338983	240.423728813559	0
kay1987	healthy	F	39	3	3	3	505.3	561.2	178.1	172.4	population	female	428.220338983051	146.101694915254	0
kay1987	healthy	F	31	4	4	4	527.4	580.5	150.8	144.8	population	female	446.949152542373	122.71186440678	0
kay1987	healthy	F	19	5	5	5	553.4	631.7	174.1	162.5	population	female	468.983050847458	137.71186440678	0
kay1987	healthy	F	39	6	6	6	618.7	680.4	196.6	190.3	population	female	524.322033898305	161.271186440678	0
kay1987	healthy	F	20	7	7	7	612	689.4	176.6	165.4	population	female	518.64406779661	140.169491525424	0
kay1987	healthy	F	26	8	8	8	752.3	833.9	212.3	202	population	female	637.542372881356	171.186440677966	0
kay1987	healthy	F	22	9	9	9	911.8	1026.8	275.2	259.4	population	female	772.71186440678	219.830508474576	0
kay1987	healthy	F	15	10	10	10	845.6	967.1	240.1	219.4	population	female	716.610169491525	185.932203389831	0
kay1987	healthy	F	10	11	11	11	1095	1190.6	154.2	133.6	population	female	927.966101694915	113.220338983051	0
kay1987	healthy	F	12	12	12	12	989.1	1181.7	340.4	303.1	population	female	838.220338983051	256.864406779661	0
kay1987	healthy	F	19	13	13	13	1050.2	1187.1	304.5	284	population	female	890	240.677966101695	0
kay1987	healthy	F	11	14	14	14	1194.5	1307.5	191.2	168.2	population	female	1012.28813559322	142.542372881356	0
kay1987	healthy	F	28	15	15	15	1307.6	1418.2	298.6	285.2	population	female	1108.13559322034	241.694915254237	0
kay1987	healthy	F	16	16	16	16	1347.5	1560.6	434.9	399.9	population	female	1141.94915254237	338.898305084746	0
kay1987	healthy	F	36	17	17	17	1398.4	1546.3	452.8	437.1	population	female	1185.08474576271	370.423728813559	0
kay1987	healthy	F	26	18	18	18	1504.4	1658.2	400.1	380.8	population	female	1274.91525423729	322.71186440678	0
kay1987	healthy	F	36	19	19	19	1456.3	1562.4	324.8	313.6	population	female	1234.15254237288	265.762711864407	0
kay1987	healthy	F	250	25	20	30	1543.3	1587.7	358.2	356.4	population	female	1307.8813559322	302.033898305085	5
kay1987	healthy	F	329	35	30	40	1591.6	1631.3	367.4	366	population	female	1348.81355932203	310.169491525424	5
kay1987	healthy	F	363	45	40	50	1557.9	1594.9	359.7	358.5	population	female	1320.25423728814	303.813559322034	5
kay1987	healthy	F	411	55	50	60	1495.2	1530.5	365.1	364.1	population	female	1267.1186440678	308.559322033898	5
kay1987	healthy	F	407	65	60	70	1408.5	1442.1	345.8	344.8	population	female	1193.64406779661	292.203389830509	5
kay1987	healthy	F	358	75	70	80	1252.3	1281.7	283.8	282.9	population	female	1061.27118644068	239.745762711864	5
kay1987	healthy	F	142	85	80	90	1172.7	1216.8	268.1	265.8	population	female	993.813559322034	225.254237288136	5
kay1987	healthy	F	6	95	90	100	1035	1302.2	333.9	254.6	population	female	877.118644067797	215.762711864407	5
