study	status	sex	ageClass	ageMin	ageMax	bodyweight	COkg	CO	flowLiver	flowLiverkg	dtype
sim1997	healthy	all	0 to 17 years	0	17	3.9	225.96	880.67	220.1675	56.49	individual
sim1997	healthy	all	0 to 17 years	0	17	6.87	234.3	1608.75	402.1875	58.575	individual
sim1997	healthy	all	0 to 17 years	0	17	12.81	246.17	3153.05	788.2625	61.5425	individual
sim1997	healthy	all	0 to 17 years	0	17	4.77	220.81	1054.24	263.56	55.2025	individual
sim1997	healthy	all	0 to 17 years	0	17	7.68	218.81	1680.76	420.19	54.7025	individual
sim1997	healthy	all	0 to 17 years	0	17	11.81	224.42	2651.55	662.8875	56.105	individual
sim1997	healthy	all	0 to 17 years	0	17	16.81	234.54	3943.86	985.965	58.635	individual
sim1997	healthy	all	0 to 17 years	0	17	8.85	208.49	1846.07	461.5175	52.1225	individual
sim1997	healthy	all	0 to 17 years	0	17	9.74	198.17	1929.55	482.3875	49.5425	individual
sim1997	healthy	all	0 to 17 years	0	17	17.77	221.12	3930.05	982.5125	55.28	individual
sim1997	healthy	all	0 to 17 years	0	17	21.33	219.14	4675.06	1168.765	54.785	individual
sim1997	healthy	all	0 to 17 years	0	17	25.91	217.87	5645.06	1411.265	54.4675	individual
sim1997	healthy	all	0 to 17 years	0	17	17.71	215.26	3811.55	952.8875	53.815	individual
sim1997	healthy	all	0 to 17 years	0	17	15.76	202.79	3195.97	798.9925	50.6975	individual
sim1997	healthy	all	0 to 17 years	0	17	17.8	200.09	3560.71	890.1775	50.0225	individual
sim1997	healthy	all	0 to 17 years	0	17	16.86	196.61	3314.05	828.5125	49.1525	individual
sim1997	healthy	all	0 to 17 years	0	17	22.88	201.93	4619.7	1154.925	50.4825	individual
sim1997	healthy	all	0 to 17 years	0	17	21.72	195.01	4236.14	1059.035	48.7525	individual
sim1997	healthy	all	0 to 17 years	0	17	19.83	195.31	3873.81	968.4525	48.8275	individual
sim1997	healthy	all	0 to 17 years	0	17	18.68	188.38	3518.97	879.7425	47.095	individual
sim1997	healthy	all	0 to 17 years	0	17	15.78	184.86	2916.94	729.235	46.215	individual
sim1997	healthy	all	0 to 17 years	0	17	15.79	175.21	2766.41	691.6025	43.8025	individual
sim1997	healthy	all	0 to 17 years	0	17	12.75	166.52	2122.8	530.7	41.63	individual
sim1997	healthy	all	0 to 17 years	0	17	14.86	160.01	2378.03	594.5075	40.0025	individual
sim1997	healthy	all	0 to 17 years	0	17	12.77	148.58	1897.06	474.265	37.145	individual
sim1997	healthy	all	0 to 17 years	0	17	15.79	102.11	1612.74	403.185	25.5275	individual
sim1997	healthy	all	0 to 17 years	0	17	17.82	112.5	2004.41	501.1025	28.125	individual
sim1997	healthy	all	0 to 17 years	0	17	16.94	119.72	2027.8	506.95	29.93	individual
sim1997	healthy	all	0 to 17 years	0	17	17.73	121.46	2154.13	538.5325	30.365	individual
sim1997	healthy	all	0 to 17 years	0	17	18.75	122.87	2303.76	575.94	30.7175	individual
sim1997	healthy	all	0 to 17 years	0	17	15.77	129	2033.84	508.46	32.25	individual
