FlowPPS001_gal	FlowS001S002_gal	FlowS002S003_gal	FlowS003S004_gal	FlowS004S005_gal	FlowS005PV_gal	FlowPVNULL_gal	FlowPPS001_galM	FlowS001S002_galM	FlowS002S003_galM	FlowS003S004_galM	FlowS004S005_galM	FlowS005PV_galM	FlowPVNULL_galM	DiffPPS001_gal	DiffS001S002_gal	DiffS002S003_gal	DiffS003S004_gal	DiffS004S005_gal	DiffS005PV_gal	DiffD001D002_gal	DiffD002D003_gal	DiffD003D004_gal	DiffD004D005_gal	DiffS001D001_gal	DiffS002D002_gal	DiffS003D003_gal	DiffS004D004_gal	DiffS005D005_gal	DiffPPS001_galM	DiffS001S002_galM	DiffS002S003_galM	DiffS003S004_galM	DiffS004S005_galM	DiffS005PV_galM	DiffD001D002_galM	DiffD002D003_galM	DiffD003D004_galM	DiffD004D005_galM	DiffS001D001_galM	DiffS002D002_galM	DiffS003D003_galM	DiffS004D004_galM	DiffS005D005_galM	H01__GALK	H01__GALKM	H01__IMP	H01__ATPS	H01__ALDR	H01__NADPR	H01__GALT	H01__GALE	H01__UGP	H01__UGALP	H01__PPASE	H01__NDKU	H01__PGM1	H01__GTFGAL	H01__GTFGLC	D001__GLUT2_GAL	D001__GLUT2_GALM	D002__GLUT2_GAL	D002__GLUT2_GALM	D003__GLUT2_GAL	D003__GLUT2_GALM	D004__GLUT2_GAL	D004__GLUT2_GALM	D005__GLUT2_GAL	D005__GLUT2_GALM	PP__gal	S001__gal	D001__gal	S002__gal	D002__gal	S003__gal	D003__gal	S004__gal	D004__gal	S005__gal	D005__gal	PV__gal	PP__galM	S001__galM	D001__galM	S002__galM	D002__galM	S003__galM	D003__galM	S004__galM	D004__galM	S005__galM	D005__galM	PV__galM	H01__gal	H01__galM	H01__h2oM	H01__glc1p	H01__glc6p	H01__gal1p	H01__udpglc	H01__udpgal	H01__galtol	H01__atp	H01__adp	H01__utp	H01__udp	H01__phos	H01__ppi	H01__nadp	H01__nadph	
0.000000	7.298548052819808E-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.865698701879872E-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.726628833080092E-19	0.0	9.914529914529913E-19	2.800718132854577E-14	-7.539859255960556E-10	0.0	-1.2393957698414219E-16	5.346203085424856E-17	-3.958151667121009E-16	-8.18365107442062E-20	2.784E-19	-1.3386002609244767E-14	0.0	7.291428571428571E-20	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2E-4	0.0	0.0	0.012	0.12	0.0010	0.34	0.11	0.0010	2.7	1.2	0.27	0.09	5.0	0.0080	0.1	0.1	
1.000000	7.298548052819808E-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.865698701879872E-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.726628833080092E-19	0.0	9.914529914529913E-19	2.800718132854577E-14	-7.539859255960556E-10	0.0	-1.2393957698414219E-16	5.346203085424856E-17	-3.958151667121009E-16	-8.18365107442062E-20	2.784E-19	-1.3386002609244767E-14	0.0	7.291428571428571E-20	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	-5.614027208382866E-17	0.0	2.0	1.2799999999999998	0.023268233876732478	0.0	0.023268233876732478	0.0	0.023268233876732478	0.0	0.023268233876732478	0.0	0.023268233876732478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4612.633583164644	0.0	0.0	0.01366324445448567	0.12	0.0017573832833054819	0.3380096926178244	0.10956789509389979	-4612.634179063745	2.953225008466804	0.9467749915331964	0.19053085334355302	0.17189155894472288	4.828670849214949	0.005576330618451773	-4612.535179063745	4612.735179063746	
2.000000	7.298548052819808E-15	4.6710707538046764E-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7516515326767543E-16	3.1140471692031176E-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7371812849537444E-12	-3.216369754802684E-14	-3.216369754802684E-14	-3.216369754802684E-14	-3.216369754802684E-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8770361558943175E-15	0.0	1.738611360142367E-18	-1.3873986516115141E-14	2.6100932891448146E-4	-2.783680150191305E-13	-6.33313708468042E-17	4.823378092809121E-17	-2.336732858588915E-16	-5.1867602316205246E-20	1.4086450359585216E-19	6.249929760974094E-14	2.081955088567864E-15	7.277761219215877E-20	0.0	-3.927165874470718E-11	0.0	-3.927165874470718E-11	0.0	-3.927165874470718E-11	0.0	-3.927165874470718E-11	0.0	-3.927165874470718E-11	0.0	2.0	-283.93125593710624	16996.793062987323	6.107434971984653	16263.459729653992	5.288234971984654	16263.459729653992	5.288234971984654	16263.459729653992	5.288234971984654	16263.459729653992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.596764872717062E9	0.0	0.0	0.0019686307040573375	0.1327367089447553	0.04420592507880469	0.3366725191903695	0.10947477052101871	1.596763671419657E9	2.4439272311954894	1.456072768804511	0.5743106267627966	-0.21045791647418485	4.926296354088544	0.004145616085154323	1.59676367322162E9	-1.5967636730216203E9	
3.000000	7.298548052819808E-15	-1.0361429575772246E-12	2.2287703811251096E-14	1.9298218528816104E-14	1.9298218528816104E-14	1.9298218528816104E-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.956276704200296E-14	-7.056204409256505E-14	1.9929901882899942E-16	0.0	0.0	1.2865479019210735E-15	7.077379930007056E-14	0.0	0.0	0.0	-2.388715849037913E-8	-2.247255055574943E-8	-2.2473682936538235E-8	-2.2473682936538235E-8	-2.2473682936538235E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.807719410270614E-15	-0.0	3.902443101114912E-17	5.234269557975495E-14	2.610001636050419E-4	-2.7840000009240694E-13	6.603032236541494E-16	3.9857976759153086E-17	-2.6124093055601506E-16	1.111577344703074E-18	6.801643646655575E-20	-2.1182686660148136E-13	-1.6895723758132958E-14	7.27480833067519E-20	0.0	-4.0000853712435493E-11	-0.0	-4.000083534176136E-11	-0.0	-4.000083534176136E-11	-0.0	-4.000083534176136E-11	-0.0	-4.000083534176136E-11	-0.0	2.0	3927348.0115055963	-9866868.520913953	3694673.2441507005	-9281236.30630575	3695044.7885870645	-9281734.972972417	3695044.2642990644	-9281734.972972417	3695044.0527696656	-9281734.972972417	3.384470382070178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.193478310055944E9	0.0	0.0	0.11096875123324017	0.02937428912120564	0.08156823443010139	0.33079098063641016	0.113764479141085	3.1934758851579704E9	4.018381407877324	-0.11838140787732354	-0.7199843220184219	1.0854288622409265	4.502958298281951	0.0025538150979032754	3.193475888663092E9	-3.1934758884630923E9	
4.000000	7.298548052819808E-15	1.4331969091059958E-8	1.3482875105950768E-8	1.3484230973412049E-8	1.3484229060141469E-8	1.3484228288212728E-8	1.2350859858442305E-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.554641195007937E-10	5.660626567394589E-11	-9.039116408534263E-14	1.2755137206838858E-16	5.146191605817854E-17	8.989477291568579E-10	-5.6519204755005034E-11	4.8126183524168024E-14	0.0	0.0	1.9067756100921496E-5	1.7936609731638232E-5	1.7937812625113912E-5	1.7937811900390205E-5	1.7937811607992955E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.796997336898095E-15	-0.0	6.577348219143027E-17	2.4488543126453347E-10	2.610001651403136E-4	-2.784000000462043E-13	-6.390642455738367E-15	-1.1405937466777538E-16	-1.8367828320493696E-14	-4.587737627619902E-18	1.7542621205295958E-20	9.724451035668928E-13	5.712727433781324E-14	7.40816040161061E-20	0.0	-3.975358694154461E-11	-0.0	-3.9760899699896796E-11	-0.0	-3.9760893473072624E-11	-0.0	-3.9760893473072624E-11	-0.0	-3.9760893473072624E-11	-0.0	2.0	-3.133644672340086E9	7.893109588309775E9	-2.9452267524194303E9	7.424826644615078E9	-2.945573320647979E9	7.425348169572195E9	-2.9455729638794093E9	7.425347849252194E9	-2.945720717834511E9	7.425347728063477E9	2364829.4121819236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.790191749402683E9	0.0	0.0	-0.16524447683733545	0.37885995768499214	0.1618715155167323	0.2582163174706457	0.07394235681180972	4.790188108288566E9	1496.1553435642174	-1492.2553435642174	5.341507798596477	-4.863666472878933	-1493.2747931524723	-0.10984262451043984	4.790188113496846E9	-4.790188113296846E9	
5.000000	7.298548052819808E-15	-1.1435528110768451E-5	-1.074793948949182E-5	-1.0749204211926642E-5	-1.0749202909980366E-5	-1.0749742104651019E-5	8.629910550765695E-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.623685412044665E-7	-4.583924141844201E-8	8.431482898806868E-11	-8.679641826695256E-14	3.594631137674684E-11	-7.172248010134522E-7	4.519385873549304E-8	-5.0332230879521355E-11	3.0913995596857365E-14	1.1695889991804336E-14	-0.015242290878406924	-0.014334532770561296	-0.014335732736438171	-0.014335731800498122	-0.014335935873384414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.753575517981242E-15	-0.0	1.1004966225353762E-16	1.3905562206764954E-13	2.6100016531678956E-4	-2.7840000003080304E-13	4.268321705633188E-16	3.4550878675186965E-16	-2.469446277792189E-13	9.148487247987201E-17	5.570151910958554E-19	-5.4422320579438424E-14	1.7896304957983993E-13	5.917348860197283E-20	0.0	1.6350160264243524E-10	0.0	1.5746492419842932E-10	0.0	1.574716472245592E-10	0.0	1.5747164309528464E-10	0.0	1.5747164153302977E-10	0.0	2.0	2.5049599384200938E12	-6.309536984659276E12	2.353764489423945E12	-5.93373291182485E12	2.354082259910965E12	-5.934248508409522E12	2.3540818784275405E12	-5.934248099932739E12	2.3542333076979473E12	-5.934332681329452E12	-1.8844099208257012E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.386899120009592E9	0.0	0.0	0.2532554307926058	1.4736963866168922	0.19934350629184452	-1.2572337269607257	0.07922659399731385	6.386900332498782E9	1497.2976611531396	-1493.3976611531396	6.518735582923325	-4.530728449959914	-1493.0299727183747	-1.6200114773863017	6.386900339410221E9	-6.386900339210221E9	
6.000000	7.298548052819808E-15	0.009141285240473801	0.008589531615540772	0.008590691247125413	0.008590689854987862	0.008591242461891194	-6.876728179178375E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.094190160311001E-4	3.678357499553531E-5	-7.730877230945219E-8	9.280917012425132E-11	-3.684046022223413E-8	5.732079460046915E-4	-3.62687482185449E-5	4.9760085277415983E-8	-3.942198255430435E-11	8.16292744837881E-9	12.184285862599836	11.455814019059396	11.456965983002272	11.45696489103967	11.457291128765986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.70755742845938E-15	-0.0	1.2628080498817717E-16	1.3905559005906285E-13	2.609999587029843E-4	-2.784000000231023E-13	-1.5554800709083597E-15	4.457068880832967E-15	-2.7331562268697976E-14	5.182062851119081E-18	5.568000670524985E-19	-2.326251303931122E-13	2.2262843137905158E-14	6.153295467184616E-20	0.0	3.991910100001364E-11	-0.0	3.7539059189790666E-11	-0.0	3.7542324565334565E-11	-0.0	3.754232197836999E-11	-0.0	3.754285764914925E-11	-0.0	2.0	-2.002399017485439E15	5.043677690675933E15	-1.8810715943598522E15	4.742096600417962E15	-1.881357659383116E15	4.742588608133179E15	-1.8813572705384975E15	4.742588131920489E15	-1.8815051058219668E15	4.742723268566648E15	1.506030929355189E12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.9836089173846245E9	0.0	0.0	0.2747482591464945	1.6098930581432187	0.2490897759943179	-1.4421900921991873	0.0970088752057761	7.98361129271444E9	1499.5304456044496	-1495.6304456044495	5.2627860947641345	-3.107604877770724	-1493.7436925517627	-1.7871885912958094	7.983611301329039E9	-7.983611301129039E9	
7.000000	7.298548052819808E-15	-7.307302725018324	-6.864545711114876	-6.865589640774137	-6.86558822177357	-6.866127713233721	0.00549591955346586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48715351500122206	-0.02951713426022987	6.959531061738319E-5	-9.460003777342121E-8	3.596609734341863E-5	-0.4581082421858125	0.02910550848356481	-4.748352994207415E-5	4.5959156381191175E-8	-1.3042000736375123E-5	-9739.797242115565	-9155.210479449564	-9156.286009993199	-9156.284814223816	-9156.675966539346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.647425996414152E-15	-0.0	1.446915729819512E-16	1.3905565024920086E-13	2.609999352826945E-4	-2.784000000184819E-13	-2.5265479835181614E-15	4.476094389251808E-15	-2.850274052612647E-14	3.884137814524357E-18	5.568000499410968E-19	-2.954110851537424E-13	2.220540763682454E-14	6.854328473546923E-20	0.0	4.000012663174772E-11	0.0	3.760836739473503E-11	0.0	3.761226937677424E-11	0.0	3.761226560005834E-11	0.0	3.761333733277683E-11	0.0	2.0	1.60066505948730547E18	-4.0317831662704041E18	1.5033067662253783E18	-3.7897692654004685E18	1.50356115896421606E18	-3.7902266468557839E18	1.50356077348968627E18	-3.7902261266023752E18	1.50370035867891456E18	-3.7903881216303928E18	-1.2036210965914908E15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.580318569274977E9	0.0	0.0	0.29781666734701984	1.7457383583722599	0.3043041614994136	-1.6284870577211865	0.10895889439577433	9.580322109652554E9	1502.147701881868	-1498.247701881868	3.6299058322413997	-1.3003776689159878	-1494.4576514937148	-1.961538524620346	9.58032211997031E9	-9.580322119770311E9	
8.000000	7.298548052819808E-15	5841.265426568888	5485.978335712539	5486.906684526886	5486.905277824697	5487.414662430219	-4.392343205430333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-389.4176951045925	23.685806057089945	-0.061889920956527705	9.378014596083442E-5	-0.03395897370148686	366.1204670423767	-23.356695338176454	0.04414175907555056	-5.020951409635112E-5	0.0156340958189066	7785737.505816725	7316623.06137311	7317606.9473880315	7317605.695399607	7318022.569965392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.581934889131193E-15	-0.0	1.6184804320840443E-16	1.3905570815880737E-13	2.609999196190112E-4	-2.784000000154015E-13	-4.3609185188917815E-15	4.4457058715246056E-15	-2.907383347074625E-14	2.6252909226226988E-18	5.568000377727575E-19	-4.0781856532368745E-13	2.2373316240223537E-14	7.258402732149267E-20	0.0	3.999999980990408E-11	-0.0	3.7598939134622416E-11	-0.0	3.7603476893081796E-11	-0.0	3.7603471731560096E-11	-0.0	3.760507891151945E-11	-0.0	2.0	-1.2795295244007031E21	3.222901360063452E21	-1.2014061991198877E21	3.028692008335615E21	-1.2016301938996258E21	3.0291090554202547E21	-1.2016298197809585E21	3.0291085122171967E21	-1.2017585124780574E21	3.0292811435353786E21	9.6193492595973235E17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1177028125556183E10	0.0	0.0	0.3121295543065871	1.8826108676042985	0.37024270678837323	-1.806869804158493	0.10949321183784391	1.1177032830765461E10	1505.4530307525683	-1501.5530307525682	1.3128554414690314	1.1945211508516171	-1495.1704786233558	-2.1393899158881244	1.1177032842786377E10	-1.1177032842586378E10	
9.000000	7.298548052819808E-15	-4669353.859420104	-4384260.437616051	-4385077.855947801	-4385076.490686266	-4385546.125603177	3510.3641404013856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311290.25729467353	-19006.228120270127	54.494555449964025	-0.09101743568078063	31.30899446077175	-292603.7659829053	18743.09138370383	-40.24910000041483	0.05242437846202897	-16.660601271705563	-6.22371366756849E9	-5.847267999102447E9	-5.848154111763626E9	-5.848152843749102E9	-5.848569364166715E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.505394712341409E-15	-0.0	1.7889033897598611E-16	1.3905576188296584E-13	2.6099990843484594E-4	-2.784000000132014E-13	-1.003905491535737E-14	4.349025488466278E-15	-2.9426566067554053E-14	1.2456335997332647E-18	5.568000291138324E-19	-7.103005224668204E-13	2.1393837666666087E-14	7.27539329514188E-20	0.0	4.000000000027744E-11	0.0	3.7589633314718226E-11	0.0	3.759480936000225E-11	0.0	3.759480261821283E-11	0.0	3.75969451760996E-11	0.0	2.0	1.0228222407733532E24	-2.576302561238262E24	9.60134542152796E23	-2.4204572876237606E24	9.60330160750424E23	-2.420831935904373E24	9.603298038835649E23	-2.420831387268078E24	9.604463544899796E23	-2.421003862019415E24	-7.687791514126111E20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.277373761362856E10	0.0	0.0	0.29985551583031994	2.0134912526173623	0.4703541363050209	-1.9520820425053864	0.07469067912792665	1.2773743483457363E10	1510.609312232456	-1506.7093122324559	-2.852512641451272	5.539904004828731	-1495.8891939467837	-2.3194076481779975	1.2773743497181438E10	-1.277374349698144E10	
