SBMLId	SBMLType	AnnotationType	AnnotationId	AnnotationQualifier	AnnotationSource
externe	compartment	RDF	P11168	is	urn:miriam:uniprot
					
bA	transporter	RDF	P11168	is	urn:miriam:uniprot
bA	transporter	RDF	227810	hasProperty	urn:miriam:omim
bA	transporter	RDF	227810	isDescribedBy	urn:miriam:pubmed
bA	transporter	RDF	P11168	is	urn:miriam:uniprot
bA	transporter	RDF	227810	hasProperty	urn:miriam:omim
bA	transporter	RDF	227810	isDescribedBy	urn:miriam:pubmed
					
v1	reaction	RDF	2.7.1.6	is	urn:miriam:ec-code
v1	reaction	RDF	P51570	is	urn:miriam:uniprot
v1	reaction	RDF	R01092	is	urn:miriam:kegg.reaction
v1	reaction	RDF	13556	is	urn:miriam:rhea
v1	reaction	RDF	230200	hasProperty	urn:miriam:omim
v1	reaction	RDF	12694189	is	urn:miriam:pubmed
					
Vmax_v1	parameter	RDF	14785	is	urn:miriam:sabiork.kineticrecord
Vmax_v1	parameter	RDF	12694189	isDescribedBy	urn:miriam:pubmed
Km_A	parameter	RDF	14792	is	urn:miriam:sabiork.kineticrecord
Km_A	parameter	RDF	12694189	isDescribedBy	urn:miriam:pubmed
Km_B	parameter	RDF	14785	is	urn:miriam:sabiork.kineticrecord
Km_B	parameter	RDF	12694189	isDescribedBy	urn:miriam:pubmed
Km_B	parameter	RDF	45367	is	urn:miriam:sabiork.kineticrecord
Km_B	parameter	RDF	15024738	isDescribedBy	urn:miriam:pubmed
