id	sbml_type	annotation_type	entity	qualifier	collection	info
						
.*	model	RDF	9606	BQB_IS	taxonomy	Homo Sapiens
						
.*	model	RDF	GO:0033501	BQB_IS_VERSION_OF	go	galactose homeostasis
.*	model	RDF	GO:0006012	BQB_IS_VERSION_OF	go	galactose metabolic process
.*	model	RDF	BTO:0000759	BQB_IS	obo.bto	liver
.*	model	RDF	FMA:7197	BQB_IS	fma	Liver
.*	model	RDF	BTO:0000575	BQB_IS	obo.bto	hepatocyte
.*	model	RDF	FMA:14515	BQB_IS	fma	Hepatocyte
.*	model	RDF	SBO:0000293	BQB_IS	biomodels.sbo	non-spatial continuous framework
						
						
PP	compartment	RDF	SBO:0000289	BQB_IS	biomodels.sbo	functional compartment
PP	compartment	SBO	SBO:0000289			functional compartment
						
^S(\d)+$	compartment	RDF	SBO:0000289	BQB_IS	biomodels.sbo	functional compartment
^S(\d)+$	compartment	SBO	SBO:0000289			functional compartment
^S(\d)+$	compartment	RDF	FMA:17543	BQB_IS	fma	Hepatic sinusoid
						
^D(\d)+$	compartment	RDF	SBO:0000289	BQB_IS	biomodels.sbo	functional compartment
^D(\d)+$	compartment	SBO	SBO:0000289			functional compartment
^D(\d)+$	compartment	RDF	FMA:63162	BQB_IS	fma	Space of Disse
						
^H(\d)+$	compartment	RDF	SBO:0000289	BQB_IS	biomodels.sbo	functional compartment
^H(\d)+$	compartment	SBO	SBO:0000289			functional compartment
^H(\d)+$	compartment	RDF	BTO:0000575	BQB_IS	obo.bto	hepatocyte
^H(\d)+$	compartment	RDF	FMA:14515	BQB_IS	fma	Hepatocyte
						
PV	compartment	RDF	SBO:0000289	BQB_IS	biomodels.sbo	functional compartment
PV	compartment	SBO	SBO:0000289			functional compartment
						
						
^Diff[PSD](.)+_(.)+$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
^Diff[PSD](.)+_(.)+$	reaction	SBO	SBO:0000185			transport reaction
^Flow[PS](.)+_(.)+$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
^Flow[PS](.)+_(.)+$	reaction	SBO	SBO:0000185			transport reaction
						
^[HD](\d)+__GLUT2_GAL$	reaction	RDF	P11168	BQB_IS	uniprot	
^[HD](\d)+__GLUT2_GAL$	reaction	RDF	227810	BQB_HAS_PROPERTY	omim	
^[HD](\d)+__GLUT2_GAL$	reaction	RDF	227810	BQB_IS_DESCRIBED_BY	pubmed	
^[HD](\d)+__GLUT2_GAL$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
^[HD](\d)+__GLUT2_GAL$	reaction	SBO	SBO:0000185			transport reaction
^[HD](\d)+__GLUT2_GAL$	reaction	SBO	SBO:0000284	BQB_IS	biomodels.sbo	transporter
^[HD](\d)+__GLUT2_GAL$	reaction	RDF	GO:0022814	BQB_HAS_PROPERTY	go	facilitated diffusion 
						
^[HD](\d)+__GLUT2_GALM$	reaction	RDF	P11168	BQB_IS	uniprot	
^[HD](\d)+__GLUT2_GALM$	reaction	RDF	227810	BQB_HAS_PROPERTY	omim	
^[HD](\d)+__GLUT2_GALM$	reaction	RDF	227810	BQB_IS_DESCRIBED_BY	pubmed	
^[HD](\d)+__GLUT2_GALM$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
^[HD](\d)+__GLUT2_GALM$	reaction	SBO	SBO:0000185			transport reaction
^[HD](\d)+__GLUT2_GALM$	reaction	SBO	SBO:0000284	BQB_IS	biomodels.sbo	transporter
^[HD](\d)+__GLUT2_GALM$	reaction	RDF	GO:0022814	BQB_HAS_PROPERTY	go	facilitated diffusion 
						
^[HD](\d)+__H2OTM$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
^[HD](\d)+__H2OTM$	reaction	SBO	SBO:0000185			transport reaction
^[HD](\d)+__H2OTM$	reaction	RDF	SBO:0000242	BQB_IS	biomodels.sbo	channel
^[HD](\d)+__H2OTM$	reaction	RDF	GO:0015250	BQB_HAS_PROPERTY	go	water channel activity 
						
^H(\d)+__GALK$	reaction	RDF	2.7.1.6	BQB_IS	ec-code	
^H(\d)+__GALK$	reaction	RDF	P51570	BQB_IS	uniprot	
^H(\d)+__GALK$	reaction	RDF	R01092	BQB_IS	kegg.reaction	
^H(\d)+__GALK$	reaction	RDF	13556	BQB_IS	rhea	
^H(\d)+__GALK$	reaction	RDF	230200	BQB_HAS_PROPERTY	omim	Galactokinase deficiency
^H(\d)+__GALK$	reaction	RDF	12694189	BQB_IS	pubmed	
^H(\d)+__GALK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__GALK$	reaction	SBO	SBO:0000176			biochemical reaction
^H(\d)+__GALK$	reaction	SBO	SBO:0000014	BQB_IS	biomodels.sbo	enzyme
						
GALK_kcat	parameter	RDF	14785	BQB_IS	sabiork.kineticrecord	
GALK_kcat	parameter	RDF	12694189	BQB_IS_DESCRIBED_BY	pubmed	
GALK_k_atp	parameter	RDF	14792	BQB_IS	sabiork.kineticrecord	
GALK_k_atp	parameter	RDF	12694189	BQB_IS_DESCRIBED_BY	pubmed	
GALK_k_gal	parameter	RDF	14785	BQB_IS	sabiork.kineticrecord	
GALK_k_gal	parameter	RDF	12694189	BQB_IS_DESCRIBED_BY	pubmed	
GALK_k_gal	parameter	RDF	45367	BQB_IS	sabiork.kineticrecord	
GALK_k_gal	parameter	RDF	15024738	BQB_IS_DESCRIBED_BY	pubmed	
						
						
						
^H(\d)+__GALKM$	reaction	RDF	2.7.1.6	BQB_IS	ec-code	
^H(\d)+__GALKM$	reaction	RDF	P51570	BQB_IS	uniprot	
^H(\d)+__GALKM$	reaction	RDF	R01092	BQB_IS	kegg.reaction	
^H(\d)+__GALKM$	reaction	RDF	13556	BQB_IS	rhea	
^H(\d)+__GALKM$	reaction	RDF	230200	BQB_HAS_PROPERTY	omim	
^H(\d)+__GALKM$	reaction	RDF	12694189	BQB_IS	pubmed	
^H(\d)+__GALKM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__GALKM$	reaction	SBO	SBO:0000176			biochemical reaction
						
						
^H(\d)+__IMP$	reaction	RDF	3.1.3.25	BQB_IS	ec-code	
^H(\d)+__IMP$	reaction	RDF	P29218	BQB_IS	uniprot	
^H(\d)+__IMP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__IMP$	reaction	SBO	SBO:0000176			biochemical reaction
						
						
^H(\d)+__GALT$	reaction	RDF	2.7.7.12	BQB_IS	ec-code	
^H(\d)+__GALT$	reaction	RDF	P07902	BQB_IS	uniprot	
^H(\d)+__GALT$	reaction	RDF	13992	BQB_IS	rhea	
^H(\d)+__GALT$	reaction	RDF	R00955	BQB_IS	kegg.reaction	
^H(\d)+__GALT$	reaction	RDF	230400	BQB_HAS_PROPERTY	omim	
^H(\d)+__GALT$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__GALT$	reaction	SBO	SBO:0000176			biochemical reaction
						
						
^H(\d)+__GALE$	reaction	RDF	5.1.3.2	BQB_IS	ec-code	
^H(\d)+__GALE$	reaction	RDF	Q14376	BQB_IS	uniprot	
^H(\d)+__GALE$	reaction	RDF	22171	BQB_IS	rhea	
^H(\d)+__GALE$	reaction	RDF	R00291	BQB_IS	kegg.reaction	
^H(\d)+__GALE$	reaction	RDF	230350	BQB_HAS_PROPERTY	omim	
^H(\d)+__GALE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__GALE$	reaction	SBO	SBO:0000176			biochemical reaction
						
GALE_k_udpgal	parameter	RDF	19823	BQB_IS	sabiork.kineticrecord	
GALE_k_udpgal	parameter	RDF	46260	BQB_IS	sabiork.kineticrecord	
GALE_kcat	parameter	RDF	16222	BQB_IS	sabiork.kineticrecord	
GALE_k_udpgal	parameter	RDF	46263	BQB_IS	sabiork.kineticrecord	
						
						
						
^H(\d)+__UGP$	reaction	RDF	2.7.7.9	BQB_IS	ec-code	
^H(\d)+__UGP$	reaction	RDF	19892	BQB_IS	rhea	
^H(\d)+__UGP$	reaction	RDF	R00289	BQB_IS	kegg.reaction	
^H(\d)+__UGP$	reaction	RDF	Q16851	BQB_IS	uniprot	
^H(\d)+__UGP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__UGP$	reaction	SBO	SBO:0000176			biochemical reaction
						
^H(\d)+__UGALP$	reaction	RDF	2.7.7.10	BQB_IS	ec-code	
^H(\d)+__UGALP$	reaction	RDF	14212	BQB_IS	rhea	
^H(\d)+__UGALP$	reaction	RDF	R00502	BQB_IS	kegg.reaction	
^H(\d)+__UGALP$	reaction	RDF	Q16851	BQB_IS	uniprot	
^H(\d)+__UGALP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__UGALP$	reaction	SBO	SBO:0000176			biochemical reaction
						
						
^H(\d)+__ALDR$	reaction	RDF	1.1.1.21	BQB_IS	ec-code	
^H(\d)+__ALDR$	reaction	RDF	12792	BQB_IS	rhea	
^H(\d)+__ALDR$	reaction	RDF	R01095	BQB_IS	kegg.reaction	
^H(\d)+__ALDR$	reaction	RDF	P15121	BQB_IS	uniprot	
^H(\d)+__ALDR$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__ALDR$	reaction	SBO	SBO:0000176			biochemical reaction
						
ALDR_k_gal	parameter	RDF	22893	BQB_IS	sabiork.kineticrecord	
ALDR_kcat	parameter	RDF	22893	BQB_IS	sabiork.kineticrecord	
ALDR_k_gal	parameter	RDF	15695	BQB_IS	sabiork.kineticrecord	
						
						
						
						
^H(\d)+__PGM1$	reaction	RDF	5.4.2.2	BQB_IS	ec-code	
^H(\d)+__PGM1$	reaction	RDF	23539	BQB_IS	rhea	
^H(\d)+__PGM1$	reaction	RDF	R00959	BQB_IS	kegg.reaction	
^H(\d)+__PGM1$	reaction	RDF	P36871	BQB_IS	uniprot	
^H(\d)+__PGM1$	reaction	RDF	612934	BQB_HAS_PROPERTY	omim	
^H(\d)+__PGM1$	reaction	RDF	614921	BQB_HAS_PROPERTY	omim	
^H(\d)+__PGM1$	reaction	RDF	SBO:0000377	BQB_IS	biomodels.sbo	isomerisation
^H(\d)+__PGM1$	reaction	SBO	SBO:0000377			isomerisation
						
						
^H(\d)+__PPASE$	reaction	RDF	3.6.1.1	BQB_IS	ec-code	
^H(\d)+__PPASE$	reaction	RDF	24579	BQB_IS	rhea	
^H(\d)+__PPASE$	reaction	RDF	R00004	BQB_IS	kegg.reaction	
^H(\d)+__PPASE$	reaction	RDF	Q15181	BQB_IS	uniprot	
^H(\d)+__PPASE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^H(\d)+__PPASE$	reaction	SBO	SBO:0000176			biochemical reaction
						
						
^H(\d)+__NDKU$	reaction	RDF	2.7.4.6	BQB_IS	ec-code	
^H(\d)+__NDKU$	reaction	RDF	25101	BQB_IS	rhea	
